Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	C-type lectin receptor signaling pathway	9/104	1.441126e-09	2.056798e-07	0	0	2.208037e+01	4.495087e+02	CASP8;MRAS;PIK3CA;RRAS;MDM2;AKT1;RRAS2;KRAS;LSP1
KEGG_2021_Human	mTOR signaling pathway	10/154	2.836963e-09	2.056798e-07	0	0	1.633763e+01	3.215333e+02	FLCN;STK11;PIK3CA;CAB39;CAB39L;STRADA;STRADB;PTEN;AKT1;KRAS
KEGG_2021_Human	MAPK signaling pathway	12/294	1.328154e-08	6.419412e-07	0	0	1.018371e+01	1.847007e+02	MAP4K2;MRAS;MAP3K1;RRAS;ERBB2;NF1;AKT1;RRAS2;KRAS;MAPK8IP3;MAP4K3;FGFR2
KEGG_2021_Human	Central carbon metabolism in cancer	7/70	3.803267e-08	1.237772e-06	0	0	2.534227e+01	4.329682e+02	RET;PIK3CA;ERBB2;PTEN;AKT1;KRAS;FGFR2
KEGG_2021_Human	Melanoma	7/72	4.638162e-08	1.237772e-06	0	0	2.456004e+01	4.147297e+02	PIK3CA;CDH1;CDKN2A;PTEN;MDM2;AKT1;KRAS
KEGG_2021_Human	Cellular senescence	9/156	5.121815e-08	1.237772e-06	0	0	1.423217e+01	2.389179e+02	MRAS;PIK3CA;RRAS;CDKN2A;PTEN;MDM2;AKT1;RRAS2;KRAS
KEGG_2021_Human	Autophagy	8/137	2.676961e-07	5.525360e-06	0	0	1.426140e+01	2.158237e+02	STK11;MRAS;PIK3CA;RRAS;PTEN;AKT1;RRAS2;KRAS
KEGG_2021_Human	Endometrial cancer	6/58	3.048475e-07	5.525360e-06	0	0	2.603234e+01	3.905751e+02	PIK3CA;CDH1;ERBB2;PTEN;AKT1;KRAS
KEGG_2021_Human	Prostate cancer	7/97	3.677387e-07	5.924679e-06	0	0	1.771545e+01	2.624703e+02	PIK3CA;ERBB2;PTEN;MDM2;AKT1;KRAS;FGFR2
KEGG_2021_Human	Non-small cell lung cancer	6/72	1.116241e-06	1.618549e-05	0	0	2.049587e+01	2.809070e+02	RET;PIK3CA;CDKN2A;ERBB2;AKT1;KRAS
KEGG_2021_Human	Bladder cancer	5/41	1.350171e-06	1.718766e-05	0	0	3.100811e+01	4.190833e+02	CDH1;CDKN2A;ERBB2;MDM2;KRAS
KEGG_2021_Human	Glioma	6/75	1.422427e-06	1.718766e-05	0	0	1.960178e+01	2.639016e+02	PIK3CA;CDKN2A;PTEN;MDM2;AKT1;KRAS
KEGG_2021_Human	AMPK signaling pathway	7/120	1.560144e-06	1.740161e-05	0	0	1.409328e+01	1.884374e+02	STK11;PIK3CA;CAB39;CAB39L;STRADA;STRADB;AKT1
KEGG_2021_Human	Proteoglycans in cancer	8/205	5.562509e-06	5.761170e-05	0	0	9.306575e+00	1.126045e+02	MRAS;PIK3CA;RRAS;ERBB2;MDM2;AKT1;RRAS2;KRAS
KEGG_2021_Human	Ras signaling pathway	8/232	1.372014e-05	1.326280e-04	0	0	8.173588e+00	9.151677e+01	MRAS;PIK3CA;RRAS;NF1;AKT1;RRAS2;KRAS;FGFR2
KEGG_2021_Human	Chronic myeloid leukemia	5/76	2.924045e-05	2.494038e-04	0	0	1.569473e+01	1.638523e+02	PIK3CA;CDKN2A;MDM2;AKT1;KRAS
KEGG_2021_Human	Pancreatic cancer	5/76	2.924045e-05	2.494038e-04	0	0	1.569473e+01	1.638523e+02	PIK3CA;CDKN2A;ERBB2;AKT1;KRAS
KEGG_2021_Human	FoxO signaling pathway	6/131	3.575604e-05	2.880347e-04	0	0	1.078964e+01	1.104728e+02	STK11;PIK3CA;PTEN;MDM2;AKT1;KRAS
KEGG_2021_Human	Pathways in cancer	11/531	3.934030e-05	3.002286e-04	0	0	4.940825e+00	5.011608e+01	RET;CASP8;PIK3CA;CDH1;CDKN2A;ERBB2;PTEN;MDM2;AKT1;KRAS;FGFR2
KEGG_2021_Human	Apelin signaling pathway	6/137	4.597126e-05	3.332917e-04	0	0	1.029233e+01	1.027946e+02	MRAS;RRAS;CDH1;AKT1;RRAS2;KRAS
KEGG_2021_Human	Rap1 signaling pathway	7/210	6.016568e-05	4.154297e-04	0	0	7.809354e+00	7.589449e+01	MRAS;PIK3CA;RRAS;CDH1;AKT1;KRAS;FGFR2
KEGG_2021_Human	Phospholipase D signaling pathway	6/148	7.069766e-05	4.626617e-04	0	0	9.489757e+00	9.069454e+01	MRAS;PIK3CA;RRAS;AKT1;RRAS2;KRAS
KEGG_2021_Human	Gastric cancer	6/149	7.338771e-05	4.626617e-04	0	0	9.422918e+00	8.970386e+01	PIK3CA;CDH1;ERBB2;AKT1;KRAS;FGFR2
KEGG_2021_Human	Human T-cell leukemia virus 1 infection	7/219	7.832522e-05	4.732149e-04	0	0	7.474409e+00	7.066785e+01	MAP3K1;MSX2;PIK3CA;CDKN2A;PTEN;AKT1;KRAS
KEGG_2021_Human	Tight junction	6/169	1.467235e-04	8.509965e-04	0	0	8.258366e+00	7.289627e+01	EPB41L4B;STK11;MAP3K1;ERBB2;ARHGEF18;NF2
KEGG_2021_Human	PI3K-Akt signaling pathway	8/354	2.638826e-04	1.471653e-03	0	0	5.258771e+00	4.333231e+01	STK11;PIK3CA;ERBB2;PTEN;MDM2;AKT1;KRAS;FGFR2
