Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
KEGG_2021_Human,p53 signaling pathway,5/73,1.444095577756888e-07,7.653706562111507e-06,0,0,50.45131845841785,794.639163272718,TP53AIP1;TP53I3;ZMAT3;PPM1D;TP53,2,34
Reactome_2022,Transcriptional Regulation By TP53 R-HSA-3700989,20/354,5.9072315697623154e-27,6.734243989529039e-25,0,0,83.96920444824636,5071.2042436801785,PLK3;PPP1R13B;TP53RK;SETD9;ARID3A;TRIAP1;HIPK1;POU4F1;POU4F2;TP53AIP1;NUAK1;TP53I3;RGCC;PCBP4;TP53INP1;RFFL;TP53;ZNF385A;PRELID3A;ZNF420,2,34
Reactome_2022,Generic Transcription Pathway R-HSA-212436,21/1190,6.842648901032568e-18,3.900309873588563e-16,0,0,25.974666052510365,1026.6059928812936,PLK3;PPP1R13B;TP53RK;SETD9;ARID3A;TRIAP1;PPM1D;HIPK1;POU4F1;POU4F2;TP53AIP1;NUAK1;TP53I3;RGCC;PCBP4;TP53INP1;RFFL;TP53;ZNF385A;PRELID3A;ZNF420,2,34
Reactome_2022,Regulation Of TP53 Activity R-HSA-5633007,12/157,1.687420983621075e-17,6.412199737760084e-16,0,0,74.56175548589341,2879.6305649642445,PLK3;NUAK1;PPP1R13B;TP53RK;SETD9;TP53INP1;RFFL;HIPK1;POU4F1;TP53;ZNF385A;POU4F2,2,34
Reactome_2022,RNA Polymerase II Transcription R-HSA-73857,21/1312,4.985067635897422e-17,1.4207442762307653e-15,0,0,23.36739557885956,877.1536024210034,PLK3;PPP1R13B;TP53RK;SETD9;ARID3A;TRIAP1;PPM1D;HIPK1;POU4F1;POU4F2;TP53AIP1;NUAK1;TP53I3;RGCC;PCBP4;TP53INP1;RFFL;TP53;ZNF385A;PRELID3A;ZNF420,2,34
Reactome_2022,Gene Expression (Transcription) R-HSA-74160,21/1449,3.7214007475563215e-16,8.484793704428413e-15,0,0,20.97058823529412,745.027568803175,PLK3;PPP1R13B;TP53RK;SETD9;ARID3A;TRIAP1;PPM1D;HIPK1;POU4F1;POU4F2;TP53AIP1;NUAK1;TP53I3;RGCC;PCBP4;TP53INP1;RFFL;TP53;ZNF385A;PRELID3A;ZNF420,2,34
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In Cytochrome C Release R-HSA-6803204,7/20,1.6177998126173646e-15,3.0738196439729925e-14,0,0,397.9230769230769,13552.348481242549,TP53AIP1;PPP1R13B;TP53INP1;TRIAP1;TP53;PRELID3A;ZNF420,2,34
Reactome_2022,TP53 Regulates Transcription Of Cell Death Genes R-HSA-5633008,8/44,4.865617606427275e-15,7.924005816181563e-14,0,0,170.34188034188034,5613.886273305922,TP53AIP1;PPP1R13B;TP53I3;TP53INP1;TRIAP1;TP53;PRELID3A;ZNF420,2,34
Reactome_2022,Regulation Of TP53 Activity Thru Association With Co-factors R-HSA-6804759,5/14,2.06682818262144e-11,2.9452301602355507e-10,0,0,382.31800766283527,9405.94853059544,PPP1R13B;POU4F1;TP53;POU4F2;ZNF385A,2,34
Reactome_2022,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,6/49,2.0102633781338802e-10,2.546333612302915e-09,0,0,99.2840531561462,2216.7731541132925,PLK3;RGCC;PCBP4;ARID3A;TP53;ZNF385A,2,34
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G1 Cell Cycle Arrest R-HSA-6804116,4/14,6.881135045760772e-09,7.84449395216728e-08,0,0,266.08,5000.8358293708525,PCBP4;ARID3A;TP53;ZNF385A,2,34
Reactome_2022,Regulation Of TP53 Activity Thru Phosphorylation R-HSA-6804756,6/90,8.520530816151548e-09,8.83036830037524e-08,0,0,50.71938775510204,942.406150572764,PLK3;NUAK1;TP53RK;TP53INP1;HIPK1;TP53,2,34
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Death Genes With Uncertain Roles In P53-Dependent Apoptosis R-HSA-6803205,3/14,1.6129681973729268e-06,1.5323197875042803e-05,0,0,175.55718475073314,2341.48244830937,PPP1R13B;TP53I3;TP53,2,34
Reactome_2022,TP53 Regulates Transcription Of Additional Cell Cycle Genes With Uncertain Roles In P53 Pathway R-HSA-6804115,3/21,5.845854228126286e-06,5.1263644769722816e-05,0,0,107.247311827957,1292.306280059673,PLK3;RGCC;TP53,2,34
Reactome_2022,Activation Of PUMA And Translocation To Mitochondria R-HSA-139915,2/9,0.00010022949748932252,0.0008161544795559119,0,0,178.20535714285714,1640.9234871537965,PPP1R13B;TP53,2,34
Reactome_2022,p53-Dependent G1 DNA Damage Response R-HSA-69563,3/65,0.00018243017646784007,0.0013050720745066,0,0,31.06763787721124,267.46573879894447,PCBP4;TP53;ZNF385A,2,34
Reactome_2022,TP53 Regulates Transcription Of Death Receptors And Ligands R-HSA-6803211,2/12,0.0001831680104570772,0.0013050720745066,0,0,124.725,1073.2719376950276,PPP1R13B;TP53,2,34
Reactome_2022,G1/S DNA Damage Checkpoints R-HSA-69615,3/67,0.00019961224115404484,0.0013385762053859,0,0,30.09375,256.37268482629224,PCBP4;TP53;ZNF385A,2,34
Reactome_2022,Regulation Of NF-kappa B Signaling R-HSA-9758274,2/18,0.0004219121242602919,0.0025314727455617,0,0,77.9296875,605.5692748599668,IKBIP;TP53,2,34
Reactome_2022,TP53 Regulates Transcription Of Genes Involved In G2 Cell Cycle Arrest R-HSA-6804114,2/18,0.0004219121242602919,0.0025314727455617,0,0,77.9296875,605.5692748599668,TP53;ZNF385A,2,34
Reactome_2022,Regulation Of TP53 Activity Thru Methylation R-HSA-6804760,2/19,0.0004710469585153871,0.0026849676635377,0,0,73.34191176470588,561.83958527557,SETD9;TP53,2,34
Reactome_2022,Activation Of BH3-only Proteins R-HSA-114452,2/30,0.0011843277749014,0.0064292079208936,0,0,44.504464285714285,299.8968904507324,PPP1R13B;TP53,2,34
Reactome_2022,Regulation Of TP53 Degradation R-HSA-6804757,2/36,0.0017043199561329,0.0088314761363254,0,0,36.63970588235294,233.5630697638135,RFFL;TP53,2,34
Reactome_2022,Regulation Of TP53 Expression And Degradation R-HSA-6806003,2/37,0.0017997945538918,0.0089207208323337,0,0,35.59107142857143,224.9385168502885,RFFL;TP53,2,34
Reactome_2022,TAK1-dependent IKK And NF-kappa-B Activation R-HSA-445989,2/45,0.0026527136191925,0.0126003896911646,0,0,28.9578488372093,171.78294456046322,IKBIP;TP53,2,34
Reactome_2022,Intrinsic Pathway For Apoptosis R-HSA-109606,2/55,0.0039370281555363,0.0179528483892457,0,0,23.48231132075472,130.0292861762509,PPP1R13B;TP53,2,34
Reactome_2022,Ub-specific Processing Proteases R-HSA-5689880,3/201,0.0047576683871832,0.0208605460053419,0,0,9.66177908113392,51.67117100306969,USP24;USP42;TP53,2,34
Reactome_2022,Activation Of NOXA And Translocation To Mitochondria R-HSA-111448,1/5,0.0084719002014878,0.0357702452951708,0,0,151.22727272727272,721.5053863184621,TP53,2,34
Reactome_2022,Cell Cycle Checkpoints R-HSA-69620,3/271,0.0107988248685892,0.0426881001966038,0,0,7.112903225806452,32.209487419727,PCBP4;TP53;ZNF385A,2,34
Reactome_2022,MyD88 Cascade Initiated On Plasma Membrane R-HSA-975871,2/96,0.0115754972109367,0.0426881001966038,0,0,13.212765957446807,58.91393603867177,IKBIP;TP53,2,34
Reactome_2022,Deubiquitination R-HSA-5688426,3/279,0.0116795036935897,0.0426881001966038,0,0,6.903927068723703,30.72192172270495,USP24;USP42;TP53,2,34
Reactome_2022,RUNX3 Regulates CDKN1A Transcription R-HSA-8941855,1/7,0.011841135434323,0.0426881001966038,0,0,100.8080808080808,447.2023640851642,TP53,2,34
Reactome_2022,TRAF6 Mediated Induction Of NFkB And MAP Kinases Upon TLR7/8 Or 9 Activation R-HSA-975138,2/101,0.0127517722391139,0.0426881001966038,0,0,12.54229797979798,54.71057010760131,IKBIP;TP53,2,34
Reactome_2022,MyD88 Dependent Cascade Initiated On Endosome R-HSA-975155,2/102,0.0129930685283717,0.0426881001966038,0,0,12.41625,53.9279860105189,IKBIP;TP53,2,34
Reactome_2022,Toll Like Receptor 3 (TLR3) Cascade R-HSA-168164,2/103,0.0132363620068428,0.0426881001966038,0,0,12.29269801980198,53.16330721829483,IKBIP;TP53,2,34
Reactome_2022,Toll Like Receptor 7/8 (TLR7/8) Cascade R-HSA-168181,2/103,0.0132363620068428,0.0426881001966038,0,0,12.29269801980198,53.16330721829483,IKBIP;TP53,2,34
Reactome_2022,DNA Damage Reversal R-HSA-73942,1/8,0.0135215845650559,0.0426881001966038,0,0,86.40259740259741,371.8308142207318,MGMT,2,34
Reactome_2022,Toll Like Receptor 9 (TLR9) Cascade R-HSA-168138,2/106,0.0139781549967819,0.0426881001966038,0,0,11.936298076923077,50.971090560576506,IKBIP;TP53,2,34
Reactome_2022,MyD88-independent TLR4 Cascade R-HSA-166166,2/107,0.0142293667322012,0.0426881001966038,0,0,11.82202380952381,50.27253405896206,IKBIP;TP53,2,34
Reactome_2022,PI5P Regulates TP53 Acetylation R-HSA-6811555,1/9,0.0151992604555411,0.0442169415427928,0,0,75.59848484848484,316.4936999007962,TP53,2,34
Reactome_2022,MyD88:MAL(TIRAP) Cascade Initiated On Plasma Membrane R-HSA-166058,2/112,0.0155147163308045,0.0442169415427928,0,0,11.28181818181818,46.99967395098967,IKBIP;TP53,2,34
Reactome_2022,Interleukin-1 Signaling R-HSA-9020702,2/114,0.0160423956254873,0.0446056853976965,0,0,11.079241071428571,45.78518901835009,IKBIP;TP53,2,34
