Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
KEGG_2021_Human,Base excision repair,3/33,9.182226801463868e-06,0.00040401797926441023,0,0,90.6590909090909,1051.485968140863,MBD4;NTHL1;XRCC1,3,25
KEGG_2021_Human,Mismatch repair,2/23,0.0003734470046022705,0.0082158341012499,0,0,82.62525879917185,652.1392267357223,MLH1;MLH3,3,25
KEGG_2021_Human,Bladder cancer,2/41,0.0011938231616913,0.0175094063714733,0,0,44.45039018952063,299.1775464324702,RASSF1;CDK4,3,25
KEGG_2021_Human,Non-small cell lung cancer,2/72,0.0036340931800572,0.0328557638654461,0,0,24.72670807453416,138.89970282560614,RASSF1;CDK4,3,25
KEGG_2021_Human,p53 signaling pathway,2/73,0.0037336095301643,0.0328557638654461,0,0,24.377219840783837,136.27791764114787,CDK4;ATM,3,25
KEGG_2021_Human,Cell cycle,2/124,0.0104210360667379,0.0764209311560783,0,0,14.1503920171062,64.58138189886994,CDK4;ATM,3,25
KEGG_2021_Human,Cellular senescence,2/156,0.01612389224337,0.0887334310963266,0,0,11.191981931112366,46.19438070413128,CDK4;ATM,3,25
KEGG_2021_Human,Non-homologous end-joining,1/13,0.016133351108423,0.0887334310963266,0,0,69.31597222222223,286.05777422638903,LIG4,3,25
KEGG_2021_Human,Pathways in cancer,3/531,0.0277429840793197,0.1335422418393772,0,0,5.022469008264463,18.00440776199149,RASSF1;CDK4;MLH1,3,25
KEGG_2021_Human,Human T-cell leukemia virus 1 infection,2/219,0.0303505095089493,0.1335422418393772,0,0,7.917451412542577,27.67103326755969,CDK4;ATM,3,25
KEGG_2021_Human,Homologous recombination,1/41,0.0500379001782909,0.2001516007131638,0,0,20.765625,62.19251853785659,ATM,3,25
KEGG_2021_Human,MicroRNAs in cancer,2/310,0.0568547943063738,0.2055281576833449,0,0,5.552512704686618,15.920468314650924,RASSF1;ATM,3,25
KEGG_2021_Human,Human papillomavirus infection,2/331,0.0638166139501869,0.2055281576833449,0,0,5.192546583850931,14.288547045958206,CDK4;ATM,3,25
KEGG_2021_Human,Fanconi anemia pathway,1/54,0.0653953228992461,0.2055281576833449,0,0,15.66194968553459,42.71490645721221,MLH1,3,25
KEGG_2021_Human,Endometrial cancer,1/58,0.0700725371329717,0.2055461089233836,0,0,14.559941520467836,38.70359077425905,MLH1,3,25
KEGG_2021_Human,Melanoma,1/72,0.0862664748551896,0.2103741057167265,0,0,11.68075117370892,28.621510800477843,CDK4,3,25
KEGG_2021_Human,Glioma,1/75,0.0897012092618635,0.2103741057167265,0,0,11.20551801801802,27.01954095985768,CDK4,3,25
KEGG_2021_Human,Pancreatic cancer,1/76,0.0908433638322228,0.2103741057167265,0,0,11.055555555555555,26.518060438580463,CDK4,3,25
KEGG_2021_Human,Chronic myeloid leukemia,1/76,0.0908433638322228,0.2103741057167265,0,0,11.055555555555555,26.518060438580463,CDK4,3,25
KEGG_2021_Human,Colorectal cancer,1/86,0.1021895020267238,0.2241632770848343,0,0,9.75,22.23903168224061,MLH1,3,25
KEGG_2021_Human,Small cell lung cancer,1/92,0.108931803930084,0.2241632770848343,0,0,9.104395604395604,20.184747726684503,CDK4,3,25
KEGG_2021_Human,AGE-RAGE signaling pathway in diabetic complications,1/100,0.1178459640404217,0.2241632770848343,0,0,8.365319865319865,17.88820673407011,CDK4,3,25
KEGG_2021_Human,T cell receptor signaling pathway,1/104,0.1222708784099096,0.2241632770848343,0,0,8.03883495145631,16.893743331988254,CDK4,3,25
KEGG_2021_Human,NF-kappa B signaling pathway,1/104,0.1222708784099096,0.2241632770848343,0,0,8.03883495145631,16.893743331988254,ATM,3,25
KEGG_2021_Human,FoxO signaling pathway,1/131,0.1515865175522374,0.2442787835157433,0,0,6.360576923076923,11.99985643470596,ATM,3,25
KEGG_2021_Human,Measles,1/139,0.1600905544475611,0.2442787835157433,0,0,5.989432367149759,10.97273388243861,CDK4,3,25
KEGG_2021_Human,Apoptosis,1/142,0.1632584222447486,0.2442787835157433,0,0,5.861111111111111,10.622800398497253,ATM,3,25
KEGG_2021_Human,Breast cancer,1/147,0.1685127283507663,0.2442787835157433,0,0,5.658961187214612,10.077161140011093,CDK4,3,25
KEGG_2021_Human,Gastric cancer,1/149,0.1706055694327323,0.2442787835157433,0,0,5.581925675675675,9.871082937357729,MLH1,3,25
KEGG_2021_Human,Cushing syndrome,1/155,0.1768537947593154,0.2442787835157433,0,0,5.362824675324675,9.290728574129565,CDK4,3,25
KEGG_2021_Human,Hepatitis C,1/157,0.1789264761901417,0.2442787835157433,0,0,5.2935363247863245,9.109013051824537,CDK4,3,25
KEGG_2021_Human,Hippo signaling pathway,1/163,0.1851145024353323,0.2442787835157433,0,0,5.095936213991769,8.595726921868458,RASSF1,3,25
KEGG_2021_Human,Hepatocellular carcinoma,1/168,0.1902369676638971,0.2442787835157433,0,0,4.942115768463074,8.20136592691404,CDK4,3,25
KEGG_2021_Human,Tight junction,1/169,0.1912577445410111,0.2442787835157433,0,0,4.912450396825397,8.125847848686089,CDK4,3,25
KEGG_2021_Human,Influenza A,1/172,0.1943126687057049,0.2442787835157433,0,0,4.825536062378168,7.905611662086706,CDK4,3,25
KEGG_2021_Human,Transcriptional misregulation in cancer,1/192,0.2143975342015282,0.2541151282478702,0,0,4.315881326352531,6.646126433634115,ATM,3,25
KEGG_2021_Human,Kaposi sarcoma-associated herpesvirus infection,1/193,0.2153890545113794,0.2541151282478702,0,0,4.293185763888889,6.591368159843864,CDK4,3,25
KEGG_2021_Human,Epstein-Barr virus infection,1/202,0.2242588404307064,0.2541151282478702,0,0,4.099087893864013,6.127949305058325,CDK4,3,25
KEGG_2021_Human,Viral carcinogenesis,1/203,0.2252384091287941,0.2541151282478702,0,0,4.078589108910891,6.079527965441561,CDK4,3,25
KEGG_2021_Human,Human immunodeficiency virus 1 infection,1/212,0.2340012537353759,0.2574013791089136,0,0,3.9028436018957344,5.668602471907256,ATM,3,25
KEGG_2021_Human,Human cytomegalovirus infection,1/225,0.246490904483857,0.2645268243241393,0,0,3.673921130952381,5.1450700484549605,CDK4,3,25
KEGG_2021_Human,Ras signaling pathway,1/232,0.2531348840444117,0.2651889261417647,0,0,3.561327561327561,4.892668593240519,RASSF1,3,25
KEGG_2021_Human,Shigellosis,1/246,0.2662545225134303,0.2724464881532775,0,0,3.3554421768707483,4.440265276731223,ATM,3,25
KEGG_2021_Human,PI3K-Akt signaling pathway,1/354,0.3602850505843202,0.3602850505843202,0,0,2.3161000944287062,2.36441337186716,CDK4,3,25
