Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module,n_genes_in_module
Reactome_2022,Meiotic Recombination R-HSA-912446,7/56,4.2260230198419177e-13,5.5360901559929116e-11,0,0,158.14285714285714,4505.860820100335,SPO11;CDK4;MSH4;MSH5;ATM;MLH1;MLH3,3,25
Reactome_2022,Meiosis R-HSA-1500620,7/88,1.1280282256618288e-11,7.388584878084977e-10,0,0,95.5130315500686,2407.6891417848237,SPO11;CDK4;MSH4;MSH5;ATM;MLH1;MLH3,3,25
Reactome_2022,Reproduction R-HSA-1474165,7/113,6.728396017858249e-11,2.9380662611314357e-09,0,0,72.89465408805032,1707.345822177018,SPO11;CDK4;MSH4;MSH5;ATM;MLH1;MLH3,3,25
Reactome_2022,DNA Repair R-HSA-73894,6/310,1.825336840635125e-06,5.977978153080034e-05,0,0,20.433864265927976,270.00789257114525,MBD4;NTHL1;LIG4;XRCC1;ATM;MLH1,3,25
Reactome_2022,Cell Cycle R-HSA-1640170,7/654,1.112831124206344e-05,0.0002915617545420621,0,0,11.617379357719388,132.50803962907008,SPO11;CDK4;MSH4;MSH5;ATM;MLH1;MLH3,3,25
Reactome_2022,Resolution Of Abasic Sites (AP Sites) R-HSA-73933,3/38,1.4139063376850076e-05,0.0003087028837278933,0,0,77.68831168831169,867.5119037558858,MBD4;NTHL1;XRCC1,3,25
KEGG_2021_Human,Base excision repair,3/33,9.182226801463868e-06,0.00040401797926441023,0,0,90.6590909090909,1051.485968140863,MBD4;NTHL1;XRCC1,3,25
Reactome_2022,Diseases Of DNA Repair R-HSA-9675135,3/51,3.453150475056014e-05,0.000646232446046197,0,0,56.61079545454545,581.598845967846,NTHL1;ATM;MLH1,3,25
Reactome_2022,Displacement Of DNA Glycosylase By APEX1 R-HSA-110357,2/9,5.371108552771946e-05,0.0008795190255164062,0,0,248.0496894409938,2438.797544724613,MBD4;NTHL1,3,25
Reactome_2022,Base Excision Repair R-HSA-73884,3/72,9.71965052408056e-05,0.0014147491318383,0,0,39.3399209486166,363.4527096913085,MBD4;NTHL1;XRCC1,3,25
