Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2021_Human	Homologous recombination	8/41	1.711728e-13	1.472086e-11	0	0	1.027054e+02	3.019137e+03	BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;NBN
KEGG_2021_Human	Fanconi anemia pathway	6/54	7.618854e-09	3.276107e-07	0	0	5.075765e+01	9.487945e+02	BLM;BRIP1;FANCD2;PMS2;BRCA1;MLH1
KEGG_2021_Human	Cellular senescence	6/156	4.323851e-06	1.239504e-04	0	0	1.615918e+01	1.995880e+02	RAD50;EIF4EBP1;ATM;NBN;TP53;HIPK3
KEGG_2021_Human	Mismatch repair	3/23	3.351674e-05	7.206099e-04	0	0	5.747596e+01	5.922016e+02	MSH6;PMS2;MLH1
KEGG_2021_Human	Cell cycle	4/124	3.759559e-04	6.466442e-03	0	0	1.295752e+01	1.021835e+02	CDKN2D;ORC4;ATM;TP53
KEGG_2021_Human	Colorectal cancer	3/86	1.713725e-03	2.456339e-02	0	0	1.380584e+01	8.793058e+01	MSH6;MLH1;TP53
KEGG_2021_Human	Herpes simplex virus 1 infection	6/498	2.386585e-03	2.932090e-02	0	0	4.841463e+00	2.923223e+01	EIF4EBP1;TP53;ZNF597;ZNF200;ZNF398;ZNF783
KEGG_2021_Human	Endometrial cancer	2/58	1.112238e-02	1.195656e-01	0	0	1.340229e+01	6.029417e+01	MLH1;TP53
KEGG_2021_Human	Neomycin, kanamycin and gentamicin biosynthesis	1/5	1.367582e-02	1.306801e-01	0	0	9.231944e+01	3.962467e+02	HK3
KEGG_2021_Human	Central carbon metabolism in cancer	2/70	1.591230e-02	1.346706e-01	0	0	1.103052e+01	4.567367e+01	HK3;TP53
KEGG_2021_Human	p53 signaling pathway	2/73	1.722531e-02	1.346706e-01	0	0	1.056285e+01	4.289970e+01	ATM;TP53
KEGG_2021_Human	mRNA surveillance pathway	2/98	2.982708e-02	1.947850e-01	0	0	7.802280e+00	2.740425e+01	CSTF2;CSTF1
KEGG_2021_Human	Shigellosis	3/246	3.018118e-02	1.947850e-01	0	0	4.677588e+00	1.637407e+01	HK3;ATM;TP53
KEGG_2021_Human	Longevity regulating pathway	2/102	3.210105e-02	1.947850e-01	0	0	7.488679e+00	2.575257e+01	EIF4EBP1;TP53
KEGG_2021_Human	Non-homologous end-joining	1/13	3.517621e-02	1.947850e-01	0	0	3.076080e+01	1.029683e+02	RAD50
KEGG_2021_Human	HIF-1 signaling pathway	2/109	3.623908e-02	1.947850e-01	0	0	6.996297e+00	2.321104e+01	HK3;EIF4EBP1
KEGG_2021_Human	Neurotrophin signaling pathway	2/119	4.248531e-02	2.149257e-01	0	0	6.395098e+00	2.019953e+01	MAGED1;TP53
KEGG_2021_Human	FoxO signaling pathway	2/131	5.046893e-02	2.179497e-01	0	0	5.796694e+00	1.731123e+01	CDKN2D;ATM
KEGG_2021_Human	MicroRNAs in cancer	3/310	5.362514e-02	2.179497e-01	0	0	3.690428e+00	1.079722e+01	ATM;BRCA1;TP53
KEGG_2021_Human	Insulin signaling pathway	2/137	5.464833e-02	2.179497e-01	0	0	5.537386e+00	1.609628e+01	HK3;EIF4EBP1
KEGG_2021_Human	Apoptosis	2/142	5.822181e-02	2.179497e-01	0	0	5.338275e+00	1.517936e+01	ATM;TP53
KEGG_2021_Human	Histidine metabolism	1/22	5.881442e-02	2.179497e-01	0	0	1.756966e+01	4.978133e+01	CARNMT1
KEGG_2021_Human	Breast cancer	2/147	6.187471e-02	2.179497e-01	0	0	5.152895e+00	1.433867e+01	BRCA1;TP53
KEGG_2021_Human	Human papillomavirus infection	3/331	6.277896e-02	2.179497e-01	0	0	3.450457e+00	9.551333e+00	EIF4EBP1;ATM;TP53
KEGG_2021_Human	Gastric cancer	2/149	6.335748e-02	2.179497e-01	0	0	5.082274e+00	1.402180e+01	MLH1;TP53
KEGG_2021_Human	PI3K-Akt signaling pathway	3/354	7.358441e-02	2.433946e-01	0	0	3.220579e+00	8.403527e+00	EIF4EBP1;BRCA1;TP53
KEGG_2021_Human	Galactose metabolism	1/31	8.188378e-02	2.608150e-01	0	0	1.229321e+01	3.076320e+01	HK3
KEGG_2021_Human	Fructose and mannose metabolism	1/33	8.693441e-02	2.670128e-01	0	0	1.152373e+01	2.814787e+01	HK3
KEGG_2021_Human	Starch and sucrose metabolism	1/36	9.445925e-02	2.715629e-01	0	0	1.053439e+01	2.485681e+01	HK3
KEGG_2021_Human	Thyroid cancer	1/37	9.695397e-02	2.715629e-01	0	0	1.024126e+01	2.389816e+01	TP53
KEGG_2021_Human	Transcriptional misregulation in cancer	2/192	9.788896e-02	2.715629e-01	0	0	3.923535e+00	9.117988e+00	ATM;TP53
KEGG_2021_Human	Bladder cancer	1/41	1.068656e-01	2.784981e-01	0	0	9.215278e+00	2.060705e+01	TP53
KEGG_2021_Human	Ferroptosis	1/41	1.068656e-01	2.784981e-01	0	0	9.215278e+00	2.060705e+01	TP53
KEGG_2021_Human	Type II diabetes mellitus	1/46	1.191050e-01	2.839715e-01	0	0	8.189300e+00	1.742479e+01	HK3
