Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
Reactome_2022,Diseases Of DNA Repair R-HSA-9675135,10/51,1.219614101694934e-16,2.8904854210169937e-14,0,0,107.88075880758808,3953.0559804589393,MSH6;BARD1;BLM;BRIP1;RAD50;RBBP8;PMS2;ATM;BRCA1;MLH1,0,55
Reactome_2022,DNA Repair R-HSA-73894,15/310,3.475977687292096e-15,4.1190335594411333e-13,0,0,24.978813559322035,831.6171571014024,BARD1;BLM;BRCA1;MLH1;TERF2;MSH6;BRIP1;RAD50;FANCD2;RBBP8;PMS2;ATM;TP53BP1;TP53;RAD18,0,55
Reactome_2022,G2/M Checkpoints R-HSA-69481,11/148,2.2631034765779881e-13,1.5820185618175886e-11,0,0,36.14598540145985,1052.457926072465,BARD1;ORC4;BLM;BRIP1;RAD50;MCM8;RBBP8;ATM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,7/24,2.6700735220550017e-13,1.5820185618175886e-11,0,0,170.95098039215685,4949.287343105931,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
Reactome_2022,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,7/25,3.7006765919187897e-13,1.7541207045695067e-11,0,0,161.44560185185185,4621.394970828274,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
Reactome_2022,G2/M DNA Damage Checkpoint R-HSA-69473,9/77,6.322391717965641e-13,2.3049691190737645e-11,0,0,57.19085677749361,1606.463065349693,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1;TP53BP1;TP53,0,55
Reactome_2022,Resolution Of D-loop Structures Thru Synthesis-Dependent Strand Annealing (SDSA) R-HSA-5693554,7/27,6.80792566815036e-13,2.3049691190737645e-11,0,0,145.28645833333334,4070.2754955275495,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
Reactome_2022,Resolution Of D-loop Structures Thru Holliday Junction Intermediates R-HSA-5693568,7/33,3.234146310644828e-12,9.581158445285304e-11,0,0,111.72516025641026,2955.941179327372,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
Reactome_2022,Resolution Of D-Loop Structures R-HSA-5693537,7/34,4.064093968435415e-12,1.0702114116879923e-10,0,0,107.58179012345678,2821.744514771806,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
Reactome_2022,Impaired BRCA2 Binding To RAD51 R-HSA-9709570,7/35,5.069470127370151e-12,1.2014644201867256e-10,0,0,103.734375,2697.9013029344887,BARD1;BLM;BRIP1;RAD50;RBBP8;ATM;BRCA1,0,55
