Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes,module_id,module_size
KEGG_2021_Human,Endometrial cancer,5/58,8.737335280528076e-09,1.057217568943897e-06,0,0,93.97169811320757,1743.7069344632062,PIK3CA;CDH1;ERBB2;PIK3R3;CTNNA2,3,25
KEGG_2021_Human,Rap1 signaling pathway,6/210,1.8704476290486974e-07,1.131620815574462e-05,0,0,30.605263157894736,474.1342233822466,CSF1R;PDGFRA;PIK3CA;CDH1;PIK3R3;TEK,3,25
KEGG_2021_Human,Gastric cancer,5/149,1.010724736418949e-06,3.718850688463673e-05,0,0,34.42881944444444,475.284444476365,PIK3CA;CDH1;ERBB2;PIK3R3;CTNNA2,3,25
KEGG_2021_Human,Central carbon metabolism in cancer,4/70,1.6462555403471631e-06,3.718850688463673e-05,0,0,57.457431457431454,765.1610294727685,PDGFRA;PIK3CA;ERBB2;PIK3R3,3,25
KEGG_2021_Human,Adherens junction,4/71,1.7430743852301126e-06,3.718850688463673e-05,0,0,56.59701492537314,750.4685008814449,FER;CDH1;ERBB2;CTNNA2,3,25
KEGG_2021_Human,Melanoma,4/72,1.8440581926266149e-06,3.718850688463673e-05,0,0,55.76190476190476,736.2546445816902,PDGFRA;PIK3CA;CDH1;PIK3R3,3,25
KEGG_2021_Human,Bacterial invasion of epithelial cells,4/77,2.4155132216897017e-06,4.1753871403493415e-05,0,0,51.92954990215264,671.6359632230644,PIK3CA;CDH1;PIK3R3;CTNNA2,3,25
KEGG_2021_Human,Pathways in cancer,7/531,2.8357239758487067e-06,4.2890325134711686e-05,0,0,14.43564461407973,184.3895675291361,CSF1R;PDGFRA;PIK3CA;CDH1;ERBB2;PIK3R3;CTNNA2,3,25
KEGG_2021_Human,PI3K-Akt signaling pathway,6/354,3.927653232743538e-06,5.280511568466312e-05,0,0,17.810344827586206,221.693705364874,CSF1R;PDGFRA;PIK3CA;ERBB2;PIK3R3;TEK,3,25
KEGG_2021_Human,Focal adhesion,5/201,4.400215363366012e-06,5.324260589672874e-05,0,0,25.228316326530614,311.1624477390953,PDGFRA;PIK3CA;ERBB2;PIK3R3;PIP5K1C,3,25
