gene_symbol	score	rank	method	disease
BRCA1	1	1	rwr	BC
BRCA2	1	2	rwr	BC
TP53	1	3	rwr	BC
PALB2	1	4	rwr	BC
ATM	1	5	rwr	BC
PTEN	1	6	rwr	BC
CDH1	1	7	rwr	BC
STK11	1	8	rwr	BC
RAD51	1	9	rwr	BC
RAD51C	1	10	rwr	BC
RAD51D	1	11	rwr	BC
BRIP1	1	12	rwr	BC
BARD1	1	13	rwr	BC
NBN	1	14	rwr	BC
PIK3CA	1	15	rwr	BC
AKT1	1	16	rwr	BC
ERBB2	1	17	rwr	BC
FGFR2	1	18	rwr	BC
CASP8	1	19	rwr	BC
XRCC2	1	20	rwr	BC
FANCM	1	21	rwr	BC
MLH1	1	22	rwr	BC
BLM	0.00608301475333152	23	rwr	BC
RPA2	0.00344180855858094	24	rwr	BC
RPA1	0.00343893713532074	25	rwr	BC
MYC	0.00332142165438194	26	rwr	BC
FANCD2	0.00317577343759209	27	rwr	BC
SWSAP1	0.00284182644867533	28	rwr	BC
EGFR	0.00231109594967402	29	rwr	BC
TOPBP1	0.00228241526078273	30	rwr	BC
XRCC3	0.00221320624332106	31	rwr	BC
PCNA	0.00218427001980144	32	rwr	BC
STK4	0.00216503183729663	33	rwr	BC
CUL3	0.00212081508330508	34	rwr	BC
HSPA8	0.00188058607730483	35	rwr	BC
ESR1	0.00182686188961415	36	rwr	BC
HSP90AA1	0.00179730611434212	37	rwr	BC
SQSTM1	0.0017822910281389	38	rwr	BC
MDM2	0.00165765936818005	39	rwr	BC
CFTR	0.00164328111904664	40	rwr	BC
HSP90AB1	0.00159637411391894	41	rwr	BC
FANCG	0.00157004022610721	42	rwr	BC
PIK3R1	0.0015625246539177	43	rwr	BC
MORF4L1	0.00155398057388366	44	rwr	BC
EP300	0.00153302105793764	45	rwr	BC
GRB2	0.00152210620574378	46	rwr	BC
UBC	0.00151638460748908	47	rwr	BC
KEAP1	0.00150693131860628	48	rwr	BC
CCNF	0.00149619757262996	49	rwr	BC
FANCA	0.00149352464997498	50	rwr	BC
RPA3	0.00146818161809097	51	rwr	BC
FGFR1	0.00146801441616375	52	rwr	BC
PDS5B	0.00144202101659213	53	rwr	BC
TP53BP1	0.00143184998050669	54	rwr	BC
USP11	0.00142896334396287	55	rwr	BC
HDAC1	0.00142826799005366	56	rwr	BC
CTNNB1	0.00132518284122467	57	rwr	BC
RAD50	0.00131604996471193	58	rwr	BC
HNRNPC	0.00131206289141625	59	rwr	BC
XRCC6	0.00130018976811239	60	rwr	BC
MORF4L2	0.00129760895310401	61	rwr	BC
ARL4C	0.00128872776131576	62	rwr	BC
NDUFAF5	0.0012854530915456	63	rwr	BC
PARP1	0.00126328308406696	64	rwr	BC
NEDD4	0.00125851500384175	65	rwr	BC
PLK1	0.00125186915781445	66	rwr	BC
PTPN11	0.00121618514082726	67	rwr	BC
KRAS	0.0012099699306289	68	rwr	BC
BRD4	0.00118443783448186	69	rwr	BC
MSH6	0.0011745170146983	70	rwr	BC
LMNA	0.00114976505156902	71	rwr	BC
NPM1	0.00114267445362146	72	rwr	BC
RELA	0.00112567528729167	73	rwr	BC
MAPT	0.00112402970338539	74	rwr	BC
SKP2	0.00112221691161491	75	rwr	BC
MCM2	0.00110742396079721	76	rwr	BC
SRC	0.00109782502885395	77	rwr	BC
CREBBP	0.00109645178776666	78	rwr	BC
XRCC5	0.00108798531039582	79	rwr	BC
USP7	0.00106663315009556	80	rwr	BC
RNF138	0.00106169890077437	81	rwr	BC
CBL	0.00104132463804564	82	rwr	BC
FBXW11	0.0010315584787831	83	rwr	BC
UBE2I	0.00102767091239227	84	rwr	BC
CDC37	0.00102556532792286	85	rwr	BC
VCP	0.00101953349422829	86	rwr	BC
YWHAZ	0.00100319563660536	87	rwr	BC
SIRT1	0.00100219613892099	88	rwr	BC
TRIM28	0.00100061957888486	89	rwr	BC
HSPA5	0.00100053241190705	90	rwr	BC
MMS19	0.000988301864273351	91	rwr	BC
PRKDC	0.000988081566294628	92	rwr	BC
TERF2	0.000985378358983438	93	rwr	BC
POLR2A	0.000982175831801421	94	rwr	BC
RNF168	0.000978350720151964	95	rwr	BC
TOP3A	0.000965875077160043	96	rwr	BC
CDC42	0.000963688928185568	97	rwr	BC
USP22	0.000961234031815174	98	rwr	BC
PMS2	0.000957902864952961	99	rwr	BC
LZTS2	0.000950407591518614	100	rwr	BC
FANCL	0.000946405265218769	101	rwr	BC
HDAC2	0.000934658143836361	102	rwr	BC
HERC2	0.000929785499671082	103	rwr	BC
IKZF3	0.000908248824362555	104	rwr	BC
KRT15	0.000898512142745867	105	rwr	BC
PMS1	0.000897971630021895	106	rwr	BC
ABL1	0.000894096589822743	107	rwr	BC
TELO2	0.00089391401382272	108	rwr	BC
MCM9	0.000893462007842795	109	rwr	BC
AR	0.000890070061273427	110	rwr	BC
RMI1	0.000887215221991667	111	rwr	BC
CSNK2A1	0.000878769231363111	112	rwr	BC
AMOTL2	0.000876648289680005	113	rwr	BC
HDAC6	0.000866754298409762	114	rwr	BC
YWHAG	0.000863738298243291	115	rwr	BC
FANCB	0.000862422578177931	116	rwr	BC
CCDC33	0.000858016396499868	117	rwr	BC
WRN	0.000854423030037473	118	rwr	BC
FANCE	0.000839967886804401	119	rwr	BC
YAP1	0.000839967552207776	120	rwr	BC
TRAF6	0.000831970039865663	121	rwr	BC
LNX1	0.000825005514276341	122	rwr	BC
YWHAE	0.000822129263499358	123	rwr	BC
SMARCA4	0.000820096143498478	124	rwr	BC
RBBP8	0.000819030014976446	125	rwr	BC
SHC1	0.000811671019958411	126	rwr	BC
PML	0.000804738117639941	127	rwr	BC
CDK2	0.000796650636510314	128	rwr	BC
SMAD3	0.00079444695645779	129	rwr	BC
DKKL1	0.000791404902001792	130	rwr	BC
STAU1	0.000790768394222145	131	rwr	BC
COPS5	0.000790347962493331	132	rwr	BC
DYNLL1	0.000788631380635155	133	rwr	BC
FLNA	0.000788080980224253	134	rwr	BC
TRAF2	0.000787883548325399	135	rwr	BC
ATR	0.000786484687783577	136	rwr	BC
FAM174A	0.000782997843884715	137	rwr	BC
PLCG1	0.000777659389049373	138	rwr	BC
ERBB3	0.000774900479369794	139	rwr	BC
XIAP	0.000772812085365893	140	rwr	BC
HSPA1A	0.000770731446556775	141	rwr	BC
CCND1	0.000758645077668558	142	rwr	BC
RAD18	0.000757123830401597	143	rwr	BC
CHEK1	0.000756664913194753	144	rwr	BC
SPACA1	0.000752208779200489	145	rwr	BC
C1ORF94	0.00074539234856788	146	rwr	BC
EFNB3	0.000737237049092302	147	rwr	BC
PIK3R2	0.000737217228000986	148	rwr	BC
KLHL10	0.000732888632512431	149	rwr	BC
