gene_symbol	score	rank	method	disease
BRCA1	1	1	rwr	BC
BRCA2	1	2	rwr	BC
TP53	1	3	rwr	BC
PALB2	1	4	rwr	BC
CHEK2	1	5	rwr	BC
ATM	1	6	rwr	BC
PTEN	1	7	rwr	BC
CDH1	1	8	rwr	BC
STK11	1	9	rwr	BC
RAD51	1	10	rwr	BC
RAD51C	1	11	rwr	BC
RAD51D	1	12	rwr	BC
BRIP1	1	13	rwr	BC
BARD1	1	14	rwr	BC
NBN	1	15	rwr	BC
NF1	1	16	rwr	BC
PIK3CA	1	17	rwr	BC
AKT1	1	18	rwr	BC
ERBB2	1	19	rwr	BC
FGFR2	1	20	rwr	BC
MAP3K1	1	21	rwr	BC
CASP8	1	22	rwr	BC
XRCC2	1	23	rwr	BC
FANCM	1	24	rwr	BC
MLH1	1	25	rwr	BC
EXO1	0.00300434322260374	26	rwr	BC
WRN	0.00279306574515801	27	rwr	BC
FANCD2	0.00260866877388966	28	rwr	BC
BLM	0.00259796169787101	29	rwr	BC
MRE11	0.00256546709702846	30	rwr	BC
XRCC3	0.00249548727295996	31	rwr	BC
MUS81	0.00243426922863789	32	rwr	BC
MSH2	0.00226425700509285	33	rwr	BC
MSH6	0.00222737976295921	34	rwr	BC
RAD51B	0.00214690662064745	35	rwr	BC
CHEK1	0.00211283356994511	36	rwr	BC
RBBP8	0.00208240793482627	37	rwr	BC
RPA1	0.00205119973156912	38	rwr	BC
PMS2	0.00204881033638316	39	rwr	BC
RAD52	0.00204078642449116	40	rwr	BC
POLD1	0.0020340092799328	41	rwr	BC
ERCC4	0.00198883922798486	42	rwr	BC
SLX4	0.00198250006736904	43	rwr	BC
DNA2	0.00197101027295781	44	rwr	BC
ATR	0.00192013982210375	45	rwr	BC
FANCI	0.00179912307322856	46	rwr	BC
TOP3A	0.00176509916937864	47	rwr	BC
FEN1	0.00172892194561657	48	rwr	BC
ERCC1	0.00172667189545101	49	rwr	BC
XRCC6	0.00165799503072128	50	rwr	BC
KRAS	0.00158740817406221	51	rwr	BC
XRCC5	0.00158096987411009	52	rwr	BC
RAD51D-2	0.00157497513921219	53	rwr	BC
TOPBP1	0.00153445575389758	54	rwr	BC
POLE	0.0015200115991478	55	rwr	BC
RMI1	0.00146920303314871	56	rwr	BC
TP53BP1	0.00145058606852648	57	rwr	BC
RAD9A	0.00142955376786647	58	rwr	BC
FANCG	0.00142684069887393	59	rwr	BC
FANCA	0.0014105791020986	60	rwr	BC
PRKDC	0.00139033611285916	61	rwr	BC
RAD17	0.00137365751933784	62	rwr	BC
EME1	0.00136574342375413	63	rwr	BC
RECQL4	0.00136556583555519	64	rwr	BC
H2AX	0.00136191459506393	65	rwr	BC
PCNA	0.00135640125183529	66	rwr	BC
EGFR	0.00134339400123651	67	rwr	BC
LIG4	0.00131418692552104	68	rwr	BC
GEN1	0.00130871855132686	69	rwr	BC
RAD50	0.00130857666155782	70	rwr	BC
PARP1	0.00125786836355807	71	rwr	BC
ATRX	0.00124624467567402	72	rwr	BC
MDC1	0.0012252222202954	73	rwr	BC
FANCC	0.00121720326519981	74	rwr	BC
FANCE	0.00120446396873328	75	rwr	BC
XRCC1	0.00120005737249622	76	rwr	BC
MDM2	0.00118327130154303	77	rwr	BC
RFC4	0.00117399394441213	78	rwr	BC
FANCL	0.0011672737164364	79	rwr	BC
ATRIP	0.00116641430996554	80	rwr	BC
CDKN2A	0.00116295615021552	81	rwr	BC
MYC	0.00113838050645958	82	rwr	BC
CDK2	0.0011156692100109	83	rwr	BC
RPA2	0.00110241224548727	84	rwr	BC
HUS1	0.00106701312069495	85	rwr	BC
SLX1A	0.00106596367043331	86	rwr	BC
ERCC3	0.00105271533557275	87	rwr	BC
H3C12	0.0010513830940123	88	rwr	BC
MSH3	0.00102987854480103	89	rwr	BC
SRC	0.000995033692769917	90	rwr	BC
RAD54L	0.000994852921640866	91	rwr	BC
H3-4	0.000993736382390509	92	rwr	BC
CTNNB1	0.000991112492093862	93	rwr	BC
HRAS	0.000991064821044741	94	rwr	BC
XPA	0.000987309152826611	95	rwr	BC
RAD18	0.000970021693972266	96	rwr	BC
NRAS	0.000968007846664877	97	rwr	BC
RFC2	0.000957136893444487	98	rwr	BC
ERCC5	0.000951139289472118	99	rwr	BC
H4C6	0.000946956355876772	100	rwr	BC
H3C13	0.0009455903171704	101	rwr	BC
CDC45	0.000942106228812392	102	rwr	BC
UBC	0.000937868243333548	103	rwr	BC
FANCF	0.000933699365089739	104	rwr	BC
ABRAXAS1	0.000927456962139351	105	rwr	BC
FBH1	0.000915853513787764	106	rwr	BC
GRB2	0.000910122360989878	107	rwr	BC
HSP90AA1	0.000907489492446896	108	rwr	BC
MUTYH	0.000900141804828703	109	rwr	BC
SWI5	0.000896895178003877	110	rwr	BC
CCNA2	0.000875175248254735	111	rwr	BC
RPS27A	0.000872116077720833	112	rwr	BC
CDK1	0.000871448858750209	113	rwr	BC
CDK4	0.000863685591694687	114	rwr	BC
RPA3	0.000846324123088117	115	rwr	BC
FANCB	0.000835623747749334	116	rwr	BC
PLK1	0.000834368831178408	117	rwr	BC
RAD51AP1	0.00083000619286336	118	rwr	BC
ESR1	0.000818023408915409	119	rwr	BC
SFR1	0.000818005543863241	120	rwr	BC
XRCC4	0.0008175082260545	121	rwr	BC
RECQL5	0.000811000767659702	122	rwr	BC
PMS1	0.000810456805088702	123	rwr	BC
H3-3B	0.000810397742290163	124	rwr	BC
UBE2T	0.000797164529771531	125	rwr	BC
FAAP24	0.000794675903887908	126	rwr	BC
SMARCA4	0.000794661717925025	127	rwr	BC
BRAF	0.00077972017391909	128	rwr	BC
CASP3	0.000778908219686759	129	rwr	BC
RAD54B	0.000775763630671049	130	rwr	BC
JUN	0.000774965377938294	131	rwr	BC
RAD1	0.00076831558754159	132	rwr	BC
STAT3	0.000762090180238832	133	rwr	BC
UBE2N	0.000762008806725036	134	rwr	BC
CDC42	0.000760481270586269	135	rwr	BC
RMI2	0.000758941002346944	136	rwr	BC
SMAD4	0.000757077814574226	137	rwr	BC
PIK3R1	0.00075029768726748	138	rwr	BC
MAPK3	0.000746317668766838	139	rwr	BC
BCL2	0.000746143824777134	140	rwr	BC
CCNB1	0.000720195908434039	141	rwr	BC
PTPN11	0.000706497312067262	142	rwr	BC
RNF168	0.000705286450111218	143	rwr	BC
REV3L	0.000697648304733587	144	rwr	BC
MLH3	0.000696082672997542	145	rwr	BC
HSP90AB1	0.000691051776322815	146	rwr	BC
RHOA	0.000690687668736605	147	rwr	BC
MSH4	0.000686480100509699	148	rwr	BC
RNF8	0.000686232689612615	149	rwr	BC
RAD23B	0.000682728681326153	150	rwr	BC
