gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
TP53	8.936511030219357	2.0082552027011342e-19	1.0	3	1.8978011665525717e-15	True
FGFR2	8.503904472395048	9.165920119685426e-18	1.0	18	4.3308972565513635e-14	True
PIK3CA	8.235698870994995	8.925621886361347e-17	1.0	15	2.811570894203824e-13	True
PALB2	8.158783334473668	1.6920803665554725e-16	1.0	4	3.209515895524178e-13	True
STK11	8.158350300476242	1.698156558478401e-16	1.0	8	3.209515895524178e-13	True
BRCA1	7.977376104677541	7.473841037539986e-16	1.0	1	1.1771299634125479e-12	True
BRCA2	7.597968719194397	1.5040750851588892e-14	1.0	2	1.98893093501218e-11	True
PTEN	7.583347922724945	1.6837510560949673e-14	1.0	6	1.98893093501218e-11	True
AKT1	7.550722233778054	2.164255583669237e-14	1.0	16	2.2724683628526987e-11	True
ATM	7.0802774227839995	7.193308032043166e-13	1.0	5	6.797676090280791e-10	True
ERBB2	6.973729080388724	1.5432409832461794e-12	1.0	17	1.3257842992433087e-09	True
BRIP1	6.940785165382689	1.9496330624365185e-12	1.0	12	1.5353360366687583e-09	True
RAD51	6.908992025586324	2.4405469663200925e-12	1.0	9	1.7740899101326825e-09	True
MLH1	6.819828627359321	4.5574588602333615e-12	1.0	22	3.076284730657519e-09	True
XRCC2	6.69911838748109	1.0484033709820003e-11	1.0	20	6.604941237186602e-09	True
BARD1	6.676382340285103	1.2245625953057592e-11	1.0	13	7.23257282852464e-09	True
RAD51D	6.6065259729108154	1.967216349565746e-11	1.0	11	1.093540853140959e-08	True
NBN	6.551566312316687	2.8468347144979693e-11	1.0	14	1.4945882251114338e-08	True
FANCM	6.498896446413068	4.045566478408531e-11	1.0	21	2.0121370116295064e-08	True
RAD51C	6.321454882794167	1.2955601717043217e-10	1.0	10	6.12152181130292e-08	True
CDH1	6.294056845682858	1.5463724038943534e-10	1.0	7	6.958675817524591e-08	True
FAAP24	5.999297765036387	9.908633433677267e-10	0.0005534291117183	211	4.25620845219319e-07	True
CASP8	5.914025671997685	1.6692290854097594e-09	1.0	19	6.858354285705316e-07	True
NKIRAS1	5.835076961332388	2.6882872054942655e-09	5.73760627564021e-05	2254	1.058513087163367e-06	True
SNX22	5.743369070897214	4.64055659638772e-09	0.0002240728794948	692	1.754130393434558e-06	True
HIPK3	5.625914616389443	9.226380475596848e-09	2.09742721973641e-05	4456	3.1708673617117026e-06	True
FAM111A	5.625914616389443	9.226380475596848e-09	8.38970887894563e-06	6437	3.1708673617117026e-06	True
ARL4C	5.6227849579931695	9.395162553219859e-09	0.0012887277613157	62	3.1708673617117026e-06	True
MACROH2A1	5.419633757685176	2.986062675362436e-08	5.29671024144318e-05	2390	9.73044561454311e-06	True
RNF138	5.37378316153585	3.855078552435723e-08	0.0010616989007743	81	1.2143497440172526e-05	True
C1ORF94	5.3158681372557055	5.3075001354419993e-08	0.0007453923485678	146	1.6179314929008675e-05	True
IHO1	5.288262921655312	6.174170041162458e-08	0.000708420389229	158	1.823309590280788e-05	True
HSD17B14	5.087214178300854	1.8168070343563638e-07	0.0006100244699651	188	5.202674689293224e-05	True
ANOS1	5.062378053195055	2.0702945718097996e-07	0.0002003302248797	773	5.754201089294884e-05	True
COX5B	5.023725897926344	2.533927606972029e-07	0.0007023457073028	161	6.841604538824479e-05	True
PTPN9	4.940115432533179	3.903816797461757e-07	0.0007124979679438	156	0.00010247519093337112	True
PMS1	4.899958221372231	4.792851834540268e-07	0.0008979716300218	106	0.0001224120265848798	True
TCL1A	4.868372468730328	5.626055033873883e-07	0.0002072843775815	743	0.00013640753856192993	True
CBY2	4.86825086128384	5.629517464460601e-07	0.0002220893861084	695	0.00013640753856192993	True
CAB39	4.819802238864951	7.185029863890226e-07	0.0003785472776924	360	0.00016974633053440656	True
CELA2B	4.805831003107693	7.705501857355182e-07	0.0001424351314606	1040	0.00017383091987748908	True
SWSAP1	4.805304221390412	7.725818661221737e-07	0.0028418264486753	28	0.00017383091987748908	True
TELO2	4.773768728463518	9.040500369167419e-07	0.0008939140138227	108	0.00019868076392705143	True
CEP57L1	4.755836295141895	9.881328602523871e-07	0.0005452123780498	213	0.00021222398930420588	True
EME1	4.7222300326681	1.1663631206673955e-06	0.0002999333596746	496	0.000244936255340153	True
TMEM248	4.6583452855361935	1.5938061880514097e-06	0.000221120346759	700	0.00032742322776273524	True
TMSB4X	4.6505294576252405	1.6554197429587952e-06	0.0002884638849882	524	0.0003328450334246939	True
ZSWIM7	4.632058113588367	1.8102424421119666e-06	0.0003095925029205	483	0.00034661304612288254	True
FIGNL1	4.629366390918195	1.8339314609676019e-06	0.0003672652028555	373	0.00034661304612288254	True
TNXB	4.629366390918192	1.8339314609676323e-06	4.28476070079304e-05	2809	0.00034661304612288254	True
MAGEA8	4.621983257825347	1.9004434785977158e-06	0.0002946028266983	508	0.00035214099750487083	True
ZDHHC1	4.586599456457922	2.252619166069083e-06	0.0002029658507469	764	0.00040937021383370833	True
CCDC33	4.571301594972609	2.4235203981421608e-06	0.0008580163964998	117	0.00043211825966874375	True
STRADA	4.5634683008074735	2.515770492302992e-06	0.000345965962903	407	0.00043343101016610165	True
ZNF200	4.559115147728763	2.5684800602434798e-06	3.68308700641071e-05	3146	0.00043343101016610165	True
TASOR2	4.559115147728756	2.5684800602435653e-06	0.0002315083260212	671	0.00043343101016610165	True
FGF7	4.543536895706259	2.7659058815675634e-06	0.0004453552877568	288	0.00045855808036514864	True
FANCB	4.527980325765182	2.977506230391471e-06	0.0008624225781779	116	0.00048419955267202836	True
NAT2	4.524771136090943	3.0230448262063147e-06	0.0004110840243559	323	0.00048419955267202836	True
LYZ	4.512529735074495	3.2029475205943845e-06	2.21184765107362e-05	4325	0.0005044642344936155	True
EFHC2	4.49974582649753	3.401738092418773e-06	0.000588040152876	194	0.000526990573333728	True
FANCE	4.467854177435442	3.950406588252756e-06	0.0008399678868044	119	0.0006021184235320734	True
MCM8	4.451946530213857	4.254767912930774e-06	0.0003026215854346	490	0.000638215186939616	True
IFFO2	4.401930246977884	5.364602680385319e-06	0.0002313339159544	673	0.0007921171145256448	True
RMI1	4.362162233821235	6.439165702284616e-06	0.0008872152219916	111	0.0009361556290244557	True
FGF2	4.3480914603107275	6.866366927718563e-06	0.0005325633266711	221	0.0009831389010142488	True
LIPH	4.332830678741669	7.360216134998889e-06	0.000346215275382	406	0.0010381200369513359	True
SYTL1	4.32378208195954	7.66884027398861e-06	6.71779355576823e-05	1994	0.0010657432439587114	True
RNASEH2A	4.29775940376183	8.626664486955502e-06	0.0005957448383784	193	0.0011520517069482572	True
GFOD1	4.29674483007093	8.66622586779241e-06	0.000356975189764	390	0.0011520517069482572	True
GFOD2	4.296744830070914	8.666225867793044e-06	3.58575975439753e-05	3210	0.0011520517069482572	True
CDKL5	4.293913698439789	8.777536814843864e-06	0.0002836359599239	532	0.0011520517069482572	True
IVD	4.290045083341385	8.93184255033742e-06	0.0002768681901643	549	0.00115624537124231	True
TIMP1	4.284777724463039	9.146098841578866e-06	0.0002427968870021	638	0.0011679815412556796	True
BLM	4.264169398643133	1.0032359119185247e-05	0.0060830147533315	23	0.0012640772490173412	True
RASD2	4.260785356976043	1.0185490197152787e-05	0.0003855720451727	352	0.0012664852942512348	True
DLC1	4.244376424907317	1.0960106172560984e-05	8.17585497469469e-05	1721	0.0013303682040187396	True
