gene_symbol	z_score	raw_pvalue	rwr_score	rwr_rank	adj_pvalue_bh	significant
CDH1	12.868499375535835	3.385238444800312e-38	1.0	8	5.3601865534968144e-34	True
TP53	11.509248481979467	5.925329300337534e-31	1.0	3	4.691083207077226e-27	True
AKT1	9.792193189303822	6.081426901971669e-23	1.0	18	3.209777118860647e-19	True
PTEN	8.826020510459436	5.423307226785812e-19	1.0	7	2.1468161657231637e-15	True
NF1	8.233483297788732	9.092337208907949e-17	1.0	16	2.879361347316969e-13	True
BRCA1	7.9109503734057585	1.2771567295814955e-15	1.0	1	3.370416609365567e-12	True
STK11	7.746635059699094	4.717982101097453e-15	1.0	9	1.067207551268244e-11	True
ERBB2	7.659875094178244	9.30570016353969e-15	1.0	19	1.8418307048685933e-11	True
PIK3CA	7.594679572579133	1.5427749538907208e-14	1.0	17	2.7142554022117414e-11	True
BARD1	7.36657815886107	8.753166235243023e-14	1.0	14	1.3859763416883802e-10	True
CASP8	7.3069768553330325	1.366097978090857e-13	1.0	22	1.966435944099148e-10	True
ATM	7.1335977604656335	4.888940201839283e-13	1.0	6	6.450956596326934e-10	True
PRSS58	6.837490143011847	4.02963159444101e-12	0.0002025352527632	300	4.90809128202915e-09	True
MAP3K1	6.779437849688384	6.032219110131681e-12	1.0	21	6.822439813558931e-09	True
PALB2	6.708881201577972	9.806112441718358e-12	1.0	4	1.0351332293477897e-08	True
NUAK1	6.5226337837724175	3.454169769188326e-11	0.0001576806238564	424	3.418332757832998e-08	True
FGFR2	6.349713117260006	1.0785841500083817e-10	1.0	20	1.0046059665431009e-07	True
CHEK2	6.286950889091826	1.6188086985509898e-10	1.0	5	1.424012051825354e-07	True
EVI2A	6.176136218511247	3.2844658487185465e-10	0.0001725174370544	377	2.7371701183478665e-07	True
EVI2B	6.139228801285984	4.1461529844850123e-10	0.000176795763238	366	3.282509317816784e-07	True
BRCA2	6.03673900798752	7.86298804404782e-10	1.0	2	5.695901127857571e-07	True
NFIC	6.035695543116	7.913971505170303e-10	0.0001573651346379	427	5.695901127857571e-07	True
ADAP2	5.944715227983409	1.384689387679532e-09	0.0001744133791693	373	9.532683375877266e-07	True
STK11IP	5.906832608914084	1.7437389290290252e-09	0.0001534561968503	439	1.1044144880900248e-06	True
ZBTB48	5.906832608914054	1.7437389290293433e-09	1.15092147664118e-05	2292	1.1044144880900248e-06	True
MLH1	5.888721507457635	1.9459732355063103e-09	1.0	25	1.185097700423343e-06	True
RAD51	5.873197525295881	2.13734312941809e-09	1.0	10	1.2534330041187422e-06	True
HTRA4	5.720973667329125	5.295765684069259e-09	1.61434966527041e-05	1964	2.994755494341166e-06	True
TOX3	5.614038542650764	9.88290786877475e-09	0.0003255756313503	186	5.3960676963510134e-06	True
NBN	5.443207361000333	2.6164835126789904e-08	1.0	15	1.3809799979919711e-05	True
BRIP1	5.315953130321309	5.305022997894628e-08	1.0	13	2.7096688435052752e-05	True
FANCM	5.300440056365644	5.776194578123204e-08	1.0	24	2.858133279687588e-05	True
RAD51D	5.257100905690493	7.317201249368718e-08	1.0	12	3.510926199469827e-05	True
TACC2	5.158917229733501	1.241910391052595e-07	8.1970557535454e-05	795	5.7665173233904615e-05	True
XRCC2	5.154042568876686	1.2746501599006326e-07	1.0	23	5.7665173233904615e-05	True
USP42	5.107741208952544	1.6301638149371088e-07	1.1637307429095e-05	2280	6.453003461428711e-05	True
DRAM1	5.107741208952544	1.6301638149371088e-07	1.1637307429095e-05	2278	6.453003461428711e-05	True
SETD9	5.1077412089525405	1.6301638149371387e-07	1.1637307429095e-05	2279	6.453003461428711e-05	True
ZMAT3	5.1077412089525405	1.6301638149371387e-07	1.1637307429095e-05	2281	6.453003461428711e-05	True
CCDC106	5.10774120895254	1.6301638149371508e-07	1.1637307429095e-05	2277	6.453003461428711e-05	True
MAP4K3	5.040192044226006	2.3253246233905275e-07	0.0001576079895579	425	8.980290265064782e-05	True
RAD51C	5.02437844130616	2.5253278857489466e-07	1.0	11	9.520486129273529e-05	True
ZNF740	4.939128209902692	3.923630356385885e-07	2.22918162338776e-06	5232	0.00013805947347337737	True
REEP6	4.939128209902692	3.923630356385885e-07	2.22918162338776e-06	5231	0.00013805947347337737	True
REEP5	4.939128209902674	3.9236303563862457e-07	0.0001263202916549	544	0.00013805947347337737	True
CIAO3	4.8611853830042895	5.834245771632603e-07	0.0001311363676184	529	0.00020082488597397965	True
CBY2	4.822259154746172	7.097068200268055e-07	0.0001204242911109	563	0.00023411453725634803	True
CBY3	4.822259154746167	7.097068200268224e-07	1.80636435438763e-05	1898	0.00023411453725634803	True
CIAO2B	4.813160723123108	7.42808570104987e-07	0.000138727575307	490	0.00024003328365392577	True
TRIAP1	4.772943051845216	9.077657006718906e-07	1.21927430060295e-05	2218	0.0002818345510674346	True
PRELID3B	4.77294305184521	9.077657006719189e-07	9.14455730199285e-07	7616	0.0002818345510674346	True
MBD4	4.724173493424845	1.155265527976878e-06	0.0001170731902817	576	0.00035177835326895935	True
C19orf57	4.655557775280773	1.6155239133244584e-06	5.22587538933457e-06	3296	0.0004737075119181489	True
HSF2BP	4.655557775280768	1.6155239133244941e-06	5.22587541355737e-05	1095	0.0004737075119181489	True
SPRED2	4.573071438704124	2.4031308768717893e-06	0.0001636313126497	402	0.0006918395328070529	True
ESRP2	4.5516291366856185	2.6616054211044452e-06	8.5123890117397e-05	769	0.000752568932817282	True
CCDC13	4.534896191540734	2.881591193517222e-06	5.5273843094451e-05	1048	0.0007866743958302015	True
HHATL	4.534896191540734	2.881591193517222e-06	5.5273843094451e-05	1049	0.0007866743958302015	True
PCBP4	4.487044435391691	3.610900838725666e-06	1.22503886039664e-05	2216	0.0009690678623793592	True
WDR6	4.478790048378036	3.7533660099903155e-06	0.0001463582867401	454	0.0009905132900364442	True
TMEM127	4.474253492378916	3.833936536328743e-06	0.0001596882859177	413	0.0009951893625611363	True
CIAO1	4.4651322740874395	4.000964952795007e-06	0.0001399611223126	485	0.001021794823589615	True
SPATA6	4.431080884881791	4.688095394152833e-06	1.55319642133188e-05	1997	0.0011782746423970787	True
TP53AIP1	4.389292618331258	5.6859982833773516e-06	1.720271781694e-05	1921	0.001406751512796828	True
HHAT	4.3478484508639355	6.873977175571813e-06	5.60191182552415e-05	1039	0.0016745008399692935	True
HIPK4	4.3305147453982995	7.438059178040521e-06	1.17895476255971e-05	2265	0.0017358220919396926	True
NEK10	4.327155426039363	7.5523689599023565e-06	1.2919175039771e-05	2166	0.0017358220919396926	True
TNFAIP8L2	4.326810176150482	7.5642114654439045e-06	7.43132460390995e-05	844	0.0017358220919396926	True
NOL3	4.326810176150482	7.5642114654439045e-06	7.43132460390995e-05	843	0.0017358220919396926	True
BRAT1	4.300466871414213	8.52193253663731e-06	2.50702418896563e-05	1680	0.0019276611397873594	True
SSBP2	4.200189102999771	1.3334607130254353e-05	0.0001383762601622	493	0.002973805201414753	True
SPRED1	4.189485876111452	1.3979359123493443e-05	0.0001724650468127	378	0.0030694063611517424	True
MAP4K2	4.186715944986201	1.4150982971079779e-05	0.000157748429926	423	0.0030694063611517424	True
USP24	4.175923780611425	1.4838959325479904e-05	1.21075009816527e-05	2232	0.003175136242697957	True
HERC1	4.166044762421691	1.5496493631004144e-05	1.19314390849254e-05	2255	0.0032716197353775947	True
MSX2	4.1595766317738665	1.594190183759128e-05	8.45514952792184e-05	774	0.003283279112522251	True
SWI5	4.159225411330841	1.5966432465846492e-05	0.000617640259475	90	0.003283279112522251	True
ZNF420	4.120442926733272	1.8907236690089458e-05	5.56541037589377e-05	1046	0.00383816904808816	True
LSP1	4.105263494390977	2.0192714067241957e-05	0.0002302959780348	258	0.003993867280783393	True
LMO3	4.102940966503951	2.0396568102783064e-05	1.18057244640526e-05	2264	0.003993867280783393	True
TP53I3	4.102499067872266	2.0435575122418073e-05	1.41366624126066e-05	2077	0.003993867280783393	True
HIPK1	4.097181629121662	2.0910538146689603e-05	1.21924747259454e-05	2219	0.003993867280783393	True
USP11	4.0969065526678685	2.093539120279283e-05	0.0001250525977478	546	0.003993867280783393	True
ILKAP	4.0912507844043065	2.1452642547197036e-05	7.90954079673429e-05	814	0.004043823120146642	True
MAPK8IP3	4.077431905991273	2.2767929772098804e-05	0.0001628640784713	406	0.004214787642107092	True
IKBIP	4.076167849232026	2.289198795132057e-05	1.33017476581791e-05	2138	0.004214787642107092	True
ANO1	4.054168904076819	2.5156427587895352e-05	0.0001266571965941	541	0.0045784698209969535	True
INIP	4.049301540624807	2.568535991191276e-05	0.000136329830424	512	0.004621613509604848	True
PRELID3A	4.014800314167196	2.974807237273255e-05	1.03961266707265e-06	7268	0.00529248289831289	True
MAGEB1	4.0057145972088595	3.0915134754321354e-05	4.19843240180846e-06	3717	0.005306607677118146	True
IGHV3OR16-9	4.005714597208851	3.091513475432252e-05	8.39686480238528e-05	782	0.005306607677118146	True
SOX15	4.002380007453801	3.1354236542357274e-05	3.45546687359619e-05	1480	0.005306607677118146	True
ANGPTL6	4.002380007453801	3.1354236542357274e-05	3.45546687359619e-05	1479	0.005306607677118146	True
RFFL	4.001259058057908	3.150316544455638e-05	1.26847428131344e-05	2184	0.005306607677118146	True
NFIX	3.9331648955157696	4.191734233476714e-05	1.05687468588978e-06	7216	0.006897893667794983	True
NFIB	3.933164895515767	4.191734233476758e-05	2.46604091818075e-05	1691	0.006897893667794983	True
CAB39L	3.9312259638307556	4.225689565341122e-05	0.0001607267711747	409	0.006897893667794983	True
ARHGEF18	3.869350614797046	5.456280948991274e-05	0.0001488372387488	449	0.008815791076155901	True
CAB39	3.860632075406589	5.654704471757383e-05	0.0001637500854653	401	0.009044100061192566	True
ARID3C	3.8445705752376576	6.038186341852105e-05	9.27830194889393e-07	7572	0.00946620223137538	True
ARID3A	3.8445705752376447	6.038186341852428e-05	1.23710692503013e-05	2209	0.00946620223137538	True
FRS3	3.8342848610230615	6.296506791173642e-05	8.56452063800526e-05	768	0.009774400836416024	True
MARK4	3.821430217876086	6.633997957787098e-05	2.82311305204323e-05	1600	0.010198322685786496	True
SFR1	3.818598382271287	6.710602928934972e-05	0.0006017158771374	94	0.010216892959303494	True
MDM2	3.809063308129873	6.974712062021371e-05	0.0008527702120844	63	0.010517865789528227	True
POU4F2	3.8031921407891836	7.142173927120044e-05	1.19376556222632e-05	2254	0.010668790751133847	True
ATMIN	3.799574884286175	7.247225544823814e-05	0.0001199275939895	564	0.010724539184742083	True
MUTYH	3.797060281238479	7.321109611400768e-05	0.0006416511417447	88	0.010733560146937014	True
WSCD1	3.7844770124275913	7.701607157953217e-05	7.90026170401616e-05	816	0.011086113430821082	True
WSCD2	3.7844770124275904	7.70160715795326e-05	7.90026170401616e-05	817	0.011086113430821082	True
CCDC88A	3.781154370129091	7.805141784889988e-05	2.01667063836334e-05	1832	0.011133929281256583	True
P3R3URF	3.741122271067174	9.160018031425042e-05	4.59850072913256e-05	1193	0.012897196655090908	True
CASP8AP2	3.7399146341395864	9.204138070135611e-05	7.5512518770727e-05	840	0.012897196655090908	True
LMO4	3.720063340807922	9.958641014432432e-05	3.15861764309037e-05	1527	0.01383202823004589	True
TP53RK	3.7073697483360015	0.00010471153389914238	1.18544155012175e-05	2260	0.01441741241529583	True
PSMC3IP	3.6965231615280025	0.00010928616332145214	6.93428308418192e-05	897	0.014895206330293327	True
CDKN2A	3.691122081147523	0.00011163346944397518	0.0008646094313719	61	0.014895206330293327	True
STRADA	3.690553249374921	0.00011188341929859704	0.0001748732767855	372	0.014895206330293327	True
PMS2	3.6891006436762503	0.00011252409324494151	0.0015834477069782	29	0.014895206330293327	True
CIAPIN1	3.688285248964529	0.00011288523175667547	1.40771698420438e-05	2081	0.014895206330293327	True
KLK7	3.6838125535677975	0.00011488561785314675	3.49505436079645e-05	1470	0.015003773385489201	True
CIAO2A	3.682225996058621	0.00011560315479535698	8.57366241198832e-06	2589	0.015003773385489201	True
MRAS	3.6711164374223038	0.00012074664242862631	0.000379529094123	153	0.015543921432641212	True
PPM1D	3.6648786517559144	0.00012372794169734436	0.0001383285823777	494	0.01579925990996573	True
PGAP3	3.6464420338480674	0.00013294821208996763	4.09654590702224e-05	1339	0.01679329146886456	True
HERC2	3.6451198309031962	0.0001336336191156331	0.0001074753902235	614	0.01679329146886456	True
PI3	3.642690013064192	0.00013490183933703842	2.11523711065395e-05	1806	0.016819178929627296	True
POU4F1	3.639879098592465	0.0001363830415122001	1.21114263618825e-05	2230	0.01687100843206388	True
TCOF1	3.6374280082140995	0.00013768706300662325	0.0001263746615212	543	0.01690028647788273	True
KRAS	3.6135774983540747	0.00015100051632174587	0.0010685009456835	45	0.018391862887988646	True
FSBP	3.6102317316234753	0.00015296178348180565	0.0004165501013538	132	0.018488525798861913	True
PARP1	3.6026767846473358	0.00015747852901142618	0.0007654920845932	72	0.018890265366416078	True
OMG	3.60027866571517	0.0001589381595727542	1.83101861696147e-05	1883	0.018922006155451053	True
EGFL7	3.596531235097401	0.0001612444378278293	4.88456405477162e-06	3428	0.01903483583730027	True
SPATA22	3.5930394300931603	0.00016342155326080766	8.59320725966552e-06	2586	0.01903483583730027	True
SLC4A7	3.592926633646143	0.00016349233761985834	1.37118561310891e-05	2111	0.01903483583730027	True
RHNO1	3.5855586121853236	0.00016817872278975657	0.0001673345734847	392	0.019437532092357705	True
WSB1	3.583117420091602	0.00016975894687587832	0.0001573343722768	428	0.019477993948062735	True
FGF12	3.577610628872257	0.00017337473737327633	8.24008243217341e-05	790	0.01974975245732703	True
TTC1	3.565277725683794	0.00018173554671848196	0.0001580873166054	421	0.020417930107866085	True
SLX4	3.5651567653921084	0.00018181938519698865	0.0013028669204067	38	0.020417930107866085	True
CCNB1IP1	3.5616805827276994	0.00018424426284451706	1.44561754914087e-05	2050	0.020544532801972416	True
ABRAXAS1	3.552831344412592	0.00019055436057841116	0.000771459719893	71	0.021044428058135743	True
NABP2	3.551686271450794	0.0001913854768454937	4.86802294119451e-05	1132	0.021044428058135743	True
