gene_symbol	source	evidence
BRCA1	BC_latest_reported_genes	reported_gwas_gene
BRCA2	BC_latest_reported_genes	reported_gwas_gene
TP53	BC_latest_reported_genes	reported_gwas_gene
PALB2	BC_latest_reported_genes	reported_gwas_gene
CHEK2	BC_latest_reported_genes	reported_gwas_gene
ATM	BC_latest_reported_genes	reported_gwas_gene
PTEN	BC_latest_reported_genes	reported_gwas_gene
CDH1	BC_latest_reported_genes	reported_gwas_gene
STK11	BC_latest_reported_genes	reported_gwas_gene
RAD51	BC_latest_reported_genes	reported_gwas_gene
RAD51C	BC_latest_reported_genes	reported_gwas_gene
RAD51D	BC_latest_reported_genes	reported_gwas_gene
BRIP1	BC_latest_reported_genes	reported_gwas_gene
BARD1	BC_latest_reported_genes	reported_gwas_gene
NBN	BC_latest_reported_genes	reported_gwas_gene
NF1	BC_latest_reported_genes	reported_gwas_gene
PIK3CA	BC_latest_reported_genes	reported_gwas_gene
AKT1	BC_latest_reported_genes	reported_gwas_gene
ERBB2	BC_latest_reported_genes	reported_gwas_gene
FGFR2	BC_latest_reported_genes	reported_gwas_gene
MAP3K1	BC_latest_reported_genes	reported_gwas_gene
CASP8	BC_latest_reported_genes	reported_gwas_gene
XRCC2	BC_latest_reported_genes	reported_gwas_gene
FANCM	BC_latest_reported_genes	reported_gwas_gene
MLH1	BC_latest_reported_genes	reported_gwas_gene
