gene	cluster	rwr_score
BRCA1	0	1.0
ATM	0	1.0
NBN	0	1.0
TP53	0	1.0
BARD1	0	1.0
BRIP1	0	1.0
MLH1	0	1.0
BLM	0	0.0060830147533315
FANCD2	0	0.003175773437592
TP53BP1	0	0.0014318499805066
RAD50	0	0.0013160499647119
MSH6	0	0.0011745170146983
TERF2	0	0.0009853783589834
PMS2	0	0.0009579028649529
PMS1	0	0.0008979716300218
RBBP8	0	0.0008190300149764
RAD18	0	0.0007571238304015
HSD17B14	0	0.0006100244699651
CARNMT1	0	0.0004335949469616
GFOD1	0	0.000356975189764
LIPH	0	0.000346215275382
CSTF2	0	0.0003421325377288
NABP2	0	0.0003221027136507
CSTF1	0	0.0003202751806227
MCM8	0	0.0003026215854346
OLA1	0	0.000301622059833
MAGED1	0	0.0002970620531998
MAGEA8	0	0.0002946028266983
CDCA7L	0	0.0002915718295139
FRMD6	0	0.0002910052872258
MYOG	0	0.0002896337511135
TMSB4X	0	0.0002884638849882
CDKL5	0	0.0002836359599239
FKBP3	0	0.0002523015149126
NPC2	0	0.0002503004792787
MT2A	0	0.0002436188435825
TASOR2	0	0.0002315083260212
CBY2	0	0.0002220893861084
TMEM248	0	0.000221120346759
ORC4	0	0.0001705507430232
EIF4EBP1	0	0.0001475618808906
CELA2B	0	0.0001424351314606
ZNF597	0	7.02560367753073e-05
CNRIP1	0	5.64950386479835e-05
CDKN2D	0	5.59624975335247e-05
ZNF200	0	3.68308700641071e-05
GFOD2	0	3.58575975439753e-05
GDF11	0	2.89272160244624e-05
ZNF398	0	2.77270224329545e-05
KDM4D	0	2.21417421493661e-05
LYZ	0	2.21184765107362e-05
HIPK3	0	2.09742721973641e-05
HK3	0	1.5026129097759e-05
FAM111A	0	8.38970887894563e-06
ZNF783	0	4.5137013215314e-06
XRCC2	1	1.0
BRCA2	1	1.0
RAD51	1	1.0
PALB2	1	1.0
RAD51C	1	1.0
SWSAP1	1	0.0028418264486753
XRCC3	1	0.002213206243321
MORF4L1	1	0.0015539805738836
PDS5B	1	0.0014420210165921
MORF4L2	1	0.001297608953104
ARL4C	1	0.0012887277613157
NDUFAF5	1	0.0012854530915456
RNF168	1	0.0009783507201519
USP22	1	0.0009612340318151
DKKL1	1	0.0007914049020017
FAM174A	1	0.0007829978438847
SPACA1	1	0.0007522087792004
EFNB3	1	0.0007372370490923
KLHL10	1	0.0007328886325124
PTPN9	1	0.0007124979679438
ERCC5	1	0.0006296941028852
DMC1	1	0.0005991309992596
RNASEH2A	1	0.0005957448383784
SPIDR	1	0.0004692016205144
NAT2	1	0.0004110840243559
FIGNL1	1	0.0003672652028555
RFWD3	1	0.0003646434852005
RAD51AP1	1	0.0003610921544834
RAD52	1	0.0003282958871527
MND1	1	0.0003176926518253
MYH14	1	0.0003133390358894
ZSWIM7	1	0.0003095925029205
USP44	1	0.0003003323346176
SNX32	1	0.0002940984610309
WTIP	1	0.0002834878205581
CNKSR1	1	0.0001649409756936
SAXO5	1	0.0001524665786925
SPANXA1	1	0.0001491892262095
RGS12	1	7.43907548365636e-05
DIRAS1	1	7.19841852256865e-05
NDUFAF8	1	6.4395312268706e-05
PSMC3IP	1	6.19456424162517e-05
NKIRAS1	1	5.73760627564021e-05
STARD7	1	5.67579523828243e-05
NTHL1	1	5.17178293301105e-05
MANF	1	5.0061969025793e-05
TNXB	1	4.28476070079304e-05
TATDN2	1	2.70940967687619e-05
TMEM168	1	1.68890814005732e-05
BCL2L15	1	9.75263833573776e-06
PTEN	2	1.0
AKT1	2	1.0
STK11	2	1.0
CASP8	2	1.0
MMS19	2	0.0009883018642733
TNFRSF10B	2	0.0003811392217642
CAB39	2	0.0003785472776924
PYCARD	2	0.0003480023235101
STRADA	2	0.000345965962903
STRADB	2	0.000340162100216
TNFSF10	2	0.000337293527383
CASP10	2	0.0003347630529249
PIK3C3	2	0.0003030026340253
ETV4	2	0.0002821680426736
IVD	2	0.0002768681901643
DEDD2	2	0.000272301854439
HIP1	2	0.0002693791155129
CAB39L	2	0.0002680016734013
CASP6	2	0.0002660714957893
C5ORF24	2	0.0002159288528824
TCL1A	2	0.0002072843775815
KDM4A	2	0.0001811072727023
HSP90AB3P	2	0.0001641054056162
ACP1	2	8.25232672820508e-05
ENO2	2	8.2480173114251e-05
DLC1	2	8.17585497469469e-05
LANCL2	2	7.29220794124235e-05
NGB	2	6.74493665465061e-05
SYTL1	2	6.71779355576823e-05
TNFRSF10D	2	2.0793379397593e-05
NLRC3	2	1.22347005305457e-05
PIK3CA	3	1.0
CDH1	3	1.0
ERBB2	3	1.0
PIK3R3	3	0.0006545205651589
PDGFRA	3	0.0005810454779797
CSF1R	3	0.0004202652453892
ADAP1	3	0.0003913489731236
RASD2	3	0.0003855720451727
BPIFA1	3	0.0003732310999452
ERRFI1	3	0.0002676980581282
TNS3	3	0.0002410942942209
IL20RA	3	0.000237522660293
PIP5K1C	3	0.0002347614887113
PKP4	3	0.0002321338279444
FLRT1	3	0.0002284074054272
CDH3	3	0.0002260792468441
NUDT5	3	0.00022042616497
CTNNA2	3	0.0002093029928099
ZDHHC1	3	0.0002029658507469
SLC39A7	3	0.0001457606463323
FER	3	0.0001228079418654
TEK	3	0.000120989932998
MATK	3	0.0001024210791633
MACROH2A1	3	5.29671024144318e-05
RGS17	3	1.02766498861481e-05
