gene	cluster	rwr_score
ERBB2	0	1.0
STK11	0	1.0
MAP3K1	0	1.0
FGFR2	0	1.0
NF1	0	1.0
PTEN	0	1.0
PIK3CA	0	1.0
AKT1	0	1.0
CDH1	0	1.0
CASP8	0	1.0
KRAS	0	0.0010685009456835
CDKN2A	0	0.0008646094313719
MDM2	0	0.0008527702120844
PARP1	0	0.0007654920845932
RRAS	0	0.0004046931811367
RRAS2	0	0.000380665457568
MRAS	0	0.000379529094123
TOX3	0	0.0003255756313503
RET	0	0.0003252503175959
NF2	0	0.0002675909045643
LSP1	0	0.0002302959780348
PRSS58	0	0.0002025352527632
EVI2B	0	0.000176795763238
STRADA	0	0.0001748732767855
ADAP2	0	0.0001744133791693
EVI2A	0	0.0001725174370544
SPRED1	0	0.0001724650468127
CAB39	0	0.0001637500854653
SPRED2	0	0.0001636313126497
STRADB	0	0.0001635793191628
MAPK8IP3	0	0.0001628640784713
CAB39L	0	0.0001607267711747
TMEM127	0	0.0001596882859177
TTC1	0	0.0001580873166054
MAP4K2	0	0.000157748429926
MAP4K3	0	0.0001576079895579
NFIC	0	0.0001573651346379
WSB1	0	0.0001573343722768
FLCN	0	0.0001539040930073
STK11IP	0	0.0001534561968503
MARK2	0	0.0001534453261906
ARHGEF18	0	0.0001488372387488
WDR6	0	0.0001463582867401
ESRP1	0	0.0001219703258267
FRS3	0	8.56452063800526e-05
ESRP2	0	8.5123890117397e-05
MSX2	0	8.45514952792184e-05
IGHV3OR16-9	0	8.39686480238528e-05
FGF12	0	8.24008243217341e-05
TACC2	0	8.1970557535454e-05
ZBP1	0	7.69933782607092e-05
DEDD	0	7.67785052584826e-05
N4BP1	0	7.5675027766605e-05
CASP8AP2	0	7.5512518770727e-05
TNFAIP8L2	0	7.43132460390995e-05
NOL3	0	7.43132460390995e-05
P3R3URF	0	4.59850072913256e-05
PGAP3	0	4.09654590702224e-05
MIEN1	0	3.97477086059845e-05
MVP	0	3.96003455324497e-05
TACSTD2	0	3.94378069212353e-05
MAST2	0	3.87435614861872e-05
PTPN18	0	3.80419187177425e-05
FRK	0	3.79355438917036e-05
MEMO1	0	3.75851974635707e-05
AJAP1	0	3.50240122326743e-05
KLK7	0	3.49505436079645e-05
ANGPTL6	0	3.45546687359619e-05
SOX15	0	3.45546687359619e-05
NFIB	0	2.46604091818075e-05
PI3	0	2.11523711065395e-05
AKTIP	0	2.07884677985301e-05
CCDC88A	0	2.01667063836334e-05
OMG	0	1.83101861696147e-05
SPINK1	0	1.68168702595524e-05
HTRA4	0	1.61434966527041e-05
SLC4A7	0	1.37118561310891e-05
NEK10	0	1.2919175039771e-05
ZBTB48	0	1.15092147664118e-05
CRLF3	0	8.88440576244294e-06
EPB41L4B	0	7.5810346739672e-06
PIGM	0	6.13329014075694e-06
EGFL7	0	4.88456405477162e-06
RNF34	0	4.24186308244629e-06
MAGEB1	0	4.19843240180846e-06
GRHL2	0	2.73680608170315e-06
ZNF92	0	1.97189034652092e-06
ACCS	0	1.94280443927179e-06
ACCSL	0	1.94280443927179e-06
MTCL1	0	1.48495476995996e-06
NFIX	0	1.05687468588978e-06
OVOL2	0	4.10520956227918e-07
SPINK2	0	3.95198399083145e-07
PIGX	0	7.35994802979468e-08
BRCA2	1	1.0
RAD51	1	1.0
FANCM	1	1.0
BRIP1	1	1.0
CHEK2	1	1.0
RAD51C	1	1.0
BARD1	1	1.0
PALB2	1	1.0
NBN	1	1.0
RAD51D	1	1.0
XRCC2	1	1.0
PMS2	1	0.0015834477069782
XRCC3	1	0.0015684323890274
FANCD2	1	0.0015590458445994
MSH2	1	0.0014723759096281
MSH6	1	0.0014485989564284
RAD51B	1	0.0013985978077795
SLX4	1	0.0013028669204067
GEN1	1	0.0010748319168762
RAD51D-2	1	0.0010409004893841
EME1	1	0.000979277381025
RAD9A	1	0.0009352079688334
FANCG	1	0.0009031036819653
ATRX	1	0.0008568725333479
FANCA	1	0.0008164198088121
FANCC	1	0.0007725310060976
ABRAXAS1	1	0.000771459719893
FANCE	1	0.0007272346510819
FANCL	1	0.0007265284778964
RAD54L	1	0.0007059922700736
MUTYH	1	0.0006416511417447
SWI5	1	0.000617640259475
SFR1	1	0.0006017158771374
FANCF	1	0.0005610956328633
RAD54B	1	0.0005294229200648
RAD1	1	0.000512290058132
FANCB	1	0.0005101513433117
UIMC1	1	0.0004612718492128
FSBP	1	0.0004165501013538
PIF1	1	0.0003177063123532
HELQ	1	0.000154999173336
CIAO1	1	0.0001399611223126
CIAO2B	1	0.000138727575307
SSBP2	1	0.0001383762601622
INIP	1	0.000136329830424
CIAO3	1	0.0001311363676184
ANO1	1	0.0001266571965941
TCOF1	1	0.0001263746615212
FIGNL1	1	0.0001206064868337
TOP3B	1	0.0001089854369204
DBF4B	1	7.97983684672404e-05
ILKAP	1	7.90954079673429e-05
WSCD2	1	7.90026170401616e-05
WSCD1	1	7.90026170401616e-05
PRSS1	1	5.76528560629901e-05
HHAT	1	5.60191182552415e-05
HHATL	1	5.5273843094451e-05
CCDC13	1	5.5273843094451e-05
HSF2BP	1	5.22587541355737e-05
SPIDR	1	5.17728103799572e-05
CNTROB	1	5.06544039180972e-05
CFAP52	1	5.0019339904667e-05
RNF212	1	4.92722337933326e-05
GNPTAB	1	3.79774705071505e-05
MPHOSPH9	1	3.68593627830359e-05
TMEM208	1	1.56738019828156e-05
SPATA6	1	1.55319642133188e-05
CCNB1IP1	1	1.44561754914087e-05
CIAPIN1	1	1.40771698420438e-05
SPATA22	1	8.59320725966552e-06
CIAO2A	1	8.57366241198832e-06
NUDT1	1	6.72118410788004e-06
GGN	1	5.89077147130456e-06
ZBTB32	1	5.2872698970527e-06
C19orf57	1	5.22587538933457e-06
LRRC8A	1	3.3060402323809e-06
NAGPA	1	1.81910298144081e-06
SUN5	1	1.76353016000932e-06
LRRC8B	1	1.89890389767534e-07
LRRC8D	1	1.60676486441755e-07
LRRC8C	1	1.60676486441755e-07
LRRC8E	1	1.41687442445025e-07
PMFBP1	1	5.03625839727278e-08
TSGA10	1	7.55439928490769e-09
TP53	2	1.0
MGMT	2	0.0001977323357419
NUAK1	2	0.0001576806238564
PPM1D	2	0.0001383285823777
PLK3	2	9.5949272450117e-05
ZNF420	2	5.56541037589377e-05
TP53AIP1	2	1.720271781694e-05
