gene	cluster
ATM	0
BARD1	0
BLM	0
BRCA1	0
BRIP1	0
CARNMT1	0
CBY2	0
CDCA7L	0
CDKL5	0
CDKN2D	0
CELA2B	0
CNRIP1	0
CSTF1	0
CSTF2	0
EIF4EBP1	0
FAM111A	0
FANCD2	0
FKBP3	0
FRMD6	0
GDF11	0
GFOD1	0
GFOD2	0
HIPK3	0
HK3	0
HSD17B14	0
KDM4D	0
LIPH	0
LYZ	0
MAGEA8	0
MAGED1	0
MCM8	0
MLH1	0
MSH6	0
MT2A	0
MYOG	0
NABP2	0
NBN	0
NPC2	0
OLA1	0
ORC4	0
PMS1	0
PMS2	0
RAD18	0
RAD50	0
RBBP8	0
TASOR2	0
TERF2	0
TMEM248	0
TMSB4X	0
TP53	0
TP53BP1	0
ZNF200	0
ZNF398	0
ZNF597	0
ZNF783	0
ARL4C	1
BCL2L15	1
BRCA2	1
CNKSR1	1
DIRAS1	1
DKKL1	1
DMC1	1
EFNB3	1
ERCC5	1
FAM174A	1
FIGNL1	1
KLHL10	1
MANF	1
MND1	1
MORF4L1	1
MORF4L2	1
MYH14	1
NAT2	1
NDUFAF5	1
NDUFAF8	1
NKIRAS1	1
NTHL1	1
PALB2	1
PDS5B	1
PSMC3IP	1
PTPN9	1
RAD51	1
RAD51AP1	1
RAD51C	1
RAD52	1
RFWD3	1
RGS12	1
RNASEH2A	1
RNF168	1
SAXO5	1
SNX32	1
SPACA1	1
SPANXA1	1
SPIDR	1
STARD7	1
SWSAP1	1
TATDN2	1
TMEM168	1
TNXB	1
USP22	1
USP44	1
WTIP	1
XRCC2	1
XRCC3	1
ZSWIM7	1
ACP1	2
AKT1	2
C5ORF24	2
CAB39	2
CAB39L	2
CASP10	2
CASP6	2
CASP8	2
DEDD2	2
DLC1	2
ENO2	2
ETV4	2
HIP1	2
HSP90AB3P	2
IVD	2
KDM4A	2
LANCL2	2
MMS19	2
NGB	2
NLRC3	2
PIK3C3	2
PTEN	2
PYCARD	2
STK11	2
STRADA	2
STRADB	2
SYTL1	2
TCL1A	2
TNFRSF10B	2
TNFRSF10D	2
TNFSF10	2
ADAP1	3
BPIFA1	3
CDH1	3
CDH3	3
CSF1R	3
CTNNA2	3
ERBB2	3
ERRFI1	3
FER	3
FLRT1	3
IL20RA	3
MACROH2A1	3
MATK	3
NUDT5	3
PDGFRA	3
PIK3CA	3
PIK3R3	3
PIP5K1C	3
PKP4	3
RASD2	3
RGS17	3
SLC39A7	3
TEK	3
TNS3	3
ZDHHC1	3
