nodeA	nodeB	weight	sources
ACP1	PTEN	1.0	BioGRID
ADAP1	PIK3CA	1.0	BioGRID
AKT1	BRCA1	1.0	BioGRID
AKT1	ENO2	1.0	BioGRID
AKT1	FANCA	1.0	BioGRID
AKT1	LANCL2	1.0	BioGRID
AKT1	NGB	1.0	BioGRID
AKT1	PIK3CA	1.0	BioGRID
AKT1	PTEN	1.0	BioGRID
AKT1	RNF138	1.0	BioGRID
AKT1	STK11	1.0	BioGRID
AKT1	SYTL1	1.0	BioGRID
AKT1	TCL1A	1.0	BioGRID+IntAct
AMOTL2	KRT15	1.0	BioGRID
AMOTL2	RAD51D	0.83	IntAct
ANOS1	FGF2	0.4	IntAct
ANOS1	FGFR2	0.44	IntAct
ARL4C	DIRAS1	0.53	IntAct
ARL4C	NKIRAS1	0.53	IntAct
ARL4C	RGS12	0.64	IntAct
ARL4C	TERF2	0.53	IntAct
ARL4C	XRCC2	0.53	IntAct
ATAD3B	FGFR2	1.0	BioGRID
ATM	BLM	1.0	BioGRID
ATM	BRCA1	1.0	BioGRID
ATM	EIF4EBP1	1.0	BioGRID
ATM	ERRFI1	1.0	BioGRID
ATM	FANCD2	1.0	BioGRID
ATM	NAT2	1.0	BioGRID
ATM	NBN	1.0	BioGRID
ATM	RAD50	1.0	BioGRID
ATM	RBBP8	1.0	BioGRID
ATM	TCL1A	1.0	BioGRID
ATM	TELO2	1.0	BioGRID
ATM	TERF2	1.0	BioGRID
ATM	TP53	1.0	BioGRID
ATM	TP53BP1	1.0	BioGRID+IntAct
BARD1	BRCA1	1.0	BioGRID+IntAct
BARD1	BRCA2	1.0	BioGRID
BARD1	BRIP1	1.0	BioGRID
BARD1	CSTF1	1.0	BioGRID
BARD1	CSTF2	1.0	BioGRID
BARD1	FKBP3	1.0	BioGRID
BARD1	MAGED1	1.0	BioGRID
BARD1	MSH6	1.0	BioGRID
BARD1	MT2A	1.0	BioGRID
BARD1	NBN	1.0	BioGRID
BARD1	NPC2	1.0	BioGRID
BARD1	OLA1	1.0	BioGRID
BARD1	RAD50	1.0	BioGRID
BARD1	RAD51	1.0	BioGRID
BARD1	RBBP8	1.0	BioGRID
BARD1	TERF2	1.0	BioGRID
BARD1	TMEM248	1.0	BioGRID
BARD1	TP53	1.0	BioGRID
BCL2L15	MANF	0.59	IntAct
BLM	BRCA1	1.0	BioGRID
BLM	BRIP1	1.0	BioGRID
BLM	FANCA	1.0	BioGRID
BLM	FANCD2	1.0	BioGRID
BLM	FANCM	1.0	BioGRID
BLM	MLH1	1.0	BioGRID
BLM	MSH6	1.0	BioGRID
BLM	NBN	1.0	BioGRID
BLM	RAD50	1.0	BioGRID
BLM	RAD51	1.0	BioGRID
BLM	RAD51D	1.0	BioGRID
BLM	RMI1	1.0	BioGRID+IntAct
BLM	SPIDR	1.0	BioGRID
BLM	TERF2	1.0	BioGRID
BLM	TOP3A	1.0	BioGRID+IntAct
BLM	TP53	1.0	BioGRID
BLM	TP53BP1	1.0	BioGRID
BLM	XRCC2	1.0	BioGRID
BPIFA1	PIK3CA	1.0	BioGRID
BRCA1	BRCA2	1.0	BioGRID
BRCA1	BRIP1	1.0	BioGRID
BRCA1	CDKN2D	1.0	BioGRID
BRCA1	CNRIP1	1.0	BioGRID
BRCA1	CSTF1	1.0	BioGRID
BRCA1	CSTF2	1.0	BioGRID
BRCA1	ERCC5	1.0	BioGRID
BRCA1	FANCA	1.0	BioGRID
BRCA1	FANCD2	1.0	BioGRID
BRCA1	MLH1	1.0	BioGRID
BRCA1	MSH6	1.0	BioGRID
BRCA1	NBN	1.0	BioGRID
BRCA1	OLA1	1.0	BioGRID
BRCA1	PALB2	1.0	BioGRID
BRCA1	PMS2	1.0	BioGRID
BRCA1	PYCARD	1.0	BioGRID
BRCA1	RAD18	1.0	BioGRID
BRCA1	RAD50	1.0	BioGRID
BRCA1	RAD51	1.0	BioGRID
BRCA1	RBBP8	1.0	BioGRID
BRCA1	RNF168	1.0	BioGRID
BRCA1	TERF2	1.0	BioGRID
