nodeA	nodeB	weight	sources
A1CF	ACTMAP	0.56	IntAct
A1CF	SYNCRIP	1.0	BioGRID
A2ML1	GMCL1	0.53	IntAct
A2ML1	NPPA	0.53	IntAct
A2ML1	TBC1D22B	0.53	IntAct
A2ML1	UGT1A10	0.53	IntAct
A2ML1	ZSCAN12	0.53	IntAct
A4GALT	ABHD14A	0.53	IntAct
A4GALT	CANX	0.53	IntAct
A4GNT	ABHD14A	0.53	IntAct
A4GNT	ARF5	0.53	IntAct
A4GNT	DIPK1A	0.53	IntAct
A4GNT	FAM3C	0.53	IntAct
A4GNT	POTEF	0.53	IntAct
A4GNT	PRXL2A	0.53	IntAct
A4GNT	RNF167	0.53	IntAct
AADAT	SPACA3	0.53	IntAct
AAGAB	AMPH	0.53	IntAct
AAGAB	AP1G1	1.0	BioGRID+IntAct
AAGAB	AP1G2	1.0	BioGRID+IntAct
AAGAB	AP1S2	0.53	IntAct
AAGAB	AP2A1	1.0	BioGRID
AAGAB	AP2A2	1.0	BioGRID
AAGAB	AP2S1	1.0	BioGRID+IntAct
AAGAB	EDRF1	0.53	IntAct
AAGAB	FBXL14	0.53	IntAct
AAGAB	GML	0.53	IntAct
AAGAB	STX4	0.53	IntAct
AAGAB	STXBP3	0.53	IntAct
AAK1	AP1B1	1.0	BioGRID
AAK1	AP2A1	1.0	BioGRID
AAK1	AP2B1	1.0	BioGRID
AAK1	AP2M1	1.0	BioGRID+IntAct
AAK1	AP2S1	1.0	BioGRID+IntAct
AAK1	ATP13A2	1.0	BioGRID+IntAct
AAK1	CLTB	1.0	BioGRID
AAK1	HSPA5	1.0	BioGRID
AAK1	PLEC	1.0	BioGRID
AAK1	PRNP	1.0	BioGRID
AAK1	RALBP1	1.0	BioGRID+IntAct
AAK1	REPS1	1.0	BioGRID
AAK1	WNK1	1.0	BioGRID+IntAct
AAK1	ZYX	1.0	BioGRID
AAMP	BHLHE40	1.0	BioGRID
AAMP	GABARAPL2	0.55	IntAct
AAMP	MKLN1	0.51	IntAct
AAMP	RPL10	1.0	BioGRID
AAMP	TBXA2R	1.0	BioGRID
AAMP	VPS52	1.0	BioGRID
AANAT	BHLHE40	0.72	IntAct
AANAT	MDFI	0.72	IntAct
AANAT	YWHAZ	1.0	BioGRID
AAR2	C9ORF78	1.0	BioGRID
AAR2	CD2BP2	1.0	BioGRID
AAR2	CDK1	1.0	BioGRID
AAR2	CUL3	1.0	BioGRID
AAR2	DDX23	1.0	BioGRID+IntAct
AAR2	DHX38	1.0	BioGRID
AAR2	EAPP	1.0	BioGRID+IntAct
AAR2	ECD	1.0	BioGRID+IntAct
AAR2	EFTUD2	1.0	BioGRID+IntAct
AAR2	HADHA	1.0	BioGRID
AAR2	KLHL36	0.53	IntAct
AAR2	MYC	1.0	BioGRID
AAR2	PRPF19	1.0	BioGRID
AAR2	PRPF6	1.0	BioGRID
AAR2	PRPF8	1.0	BioGRID+IntAct
AAR2	PTGES3	1.0	BioGRID
AAR2	RUVBL1	1.0	BioGRID
AAR2	RUVBL2	1.0	BioGRID
AAR2	SLC25A4	1.0	BioGRID
AAR2	SNRNP200	1.0	BioGRID+IntAct
AAR2	SNRNP40	1.0	BioGRID+IntAct
AAR2	SNRPB	1.0	BioGRID
AAR2	SNRPD1	1.0	BioGRID
AAR2	SNRPD2	1.0	BioGRID
