nodeA	nodeB	weight	source	evidence	version
ARF5	ACAP1	0.825	STRING	combined_score	v12.0
ARF5	COPA	0.718	STRING	combined_score	v12.0
ARF5	RAB11FIP3	0.952	STRING	combined_score	v12.0
ARF5	COPB2	0.752	STRING	combined_score	v12.0
ARF5	COPE	0.795	STRING	combined_score	v12.0
ARF5	ARF3	0.756	STRING	combined_score	v12.0
ARF5	ARFGAP1	0.795	STRING	combined_score	v12.0
ARF5	RAB11FIP1	0.755	STRING	combined_score	v12.0
ARF5	CYTH1	0.765	STRING	combined_score	v12.0
ARF5	IQSEC1	0.835	STRING	combined_score	v12.0
ARF5	RAB11A	0.792	STRING	combined_score	v12.0
ARF5	ARFGAP2	0.785	STRING	combined_score	v12.0
ARF5	COPB1	0.846	STRING	combined_score	v12.0
ARF5	ARF4	0.888	STRING	combined_score	v12.0
ARF5	ASAP1	0.892	STRING	combined_score	v12.0
ARF5	RAB11FIP4	0.847	STRING	combined_score	v12.0
ARF5	GORAB	0.745	STRING	combined_score	v12.0
ARF5	ACAP2	0.815	STRING	combined_score	v12.0
ARF5	ARFGAP3	0.737	STRING	combined_score	v12.0
ARF5	ARFIP1	0.861	STRING	combined_score	v12.0
ARF5	ARF1	0.862	STRING	combined_score	v12.0
ARF5	CDKN2A	0.76	STRING	combined_score	v12.0
ARF5	GBF1	0.828	STRING	combined_score	v12.0
ARF5	ARFIP2	0.842	STRING	combined_score	v12.0
ARF5	AGAP1	0.702	STRING	combined_score	v12.0
ARF5	ASAP2	0.747	STRING	combined_score	v12.0
ARF5	COPZ1	0.705	STRING	combined_score	v12.0
M6PR	GGA3	0.993	STRING	combined_score	v12.0
M6PR	VTI1A	0.745	STRING	combined_score	v12.0
M6PR	TGOLN2	0.748	STRING	combined_score	v12.0
M6PR	GGA2	0.911	STRING	combined_score	v12.0
M6PR	GGA1	0.957	STRING	combined_score	v12.0
M6PR	IGF2R	0.991	STRING	combined_score	v12.0
M6PR	PLIN3	0.872	STRING	combined_score	v12.0
FKBP4	STIP1	0.979	STRING	combined_score	v12.0
FKBP4	NR3C2	0.945	STRING	combined_score	v12.0
FKBP4	FKBP5	0.972	STRING	combined_score	v12.0
FKBP4	SERPINB2	0.712	STRING	combined_score	v12.0
FKBP4	HSPA8	0.942	STRING	combined_score	v12.0
FKBP4	GLMN	0.983	STRING	combined_score	v12.0
FKBP4	HSF1	0.783	STRING	combined_score	v12.0
FKBP4	HSPA2	0.748	STRING	combined_score	v12.0
FKBP4	MTOR	0.961	STRING	combined_score	v12.0
FKBP4	AKT1	0.914	STRING	combined_score	v12.0
FKBP4	PTGES3	0.99	STRING	combined_score	v12.0
FKBP4	DNAJB1	0.957	STRING	combined_score	v12.0
FKBP4	PPID	0.937	STRING	combined_score	v12.0
FKBP4	HSP90AB1	0.999	STRING	combined_score	v12.0
FKBP4	HSPA4	0.998	STRING	combined_score	v12.0
FKBP4	CDC37L1	0.734	STRING	combined_score	v12.0
FKBP4	CDC37	0.859	STRING	combined_score	v12.0
FKBP4	NR3C1	0.996	STRING	combined_score	v12.0
FKBP4	HSP90AA1	0.999	STRING	combined_score	v12.0
FKBP4	PHYH	0.783	STRING	combined_score	v12.0
FKBP4	PGR	0.977	STRING	combined_score	v12.0
FKBP4	S100A1	0.742	STRING	combined_score	v12.0
FKBP4	AHSA1	0.973	STRING	combined_score	v12.0
FKBP4	DCTN2	0.761	STRING	combined_score	v12.0
FKBP4	PHLPP1	0.993	STRING	combined_score	v12.0
FKBP4	CLCA1	0.745	STRING	combined_score	v12.0
FKBP4	ADSL	0.849	STRING	combined_score	v12.0
FKBP4	HSPA1A	0.771	STRING	combined_score	v12.0
FKBP4	ESR1	0.893	STRING	combined_score	v12.0
FKBP4	AR	0.928	STRING	combined_score	v12.0
FKBP4	HSPA1B	0.806	STRING	combined_score	v12.0
FKBP4	CHUK	0.801	STRING	combined_score	v12.0
CYP26B1	CYP2C9	0.938	STRING	combined_score	v12.0
CYP26B1	CYP4A22	0.927	STRING	combined_score	v12.0
CYP26B1	CYP3A7	0.936	STRING	combined_score	v12.0
CYP26B1	CYP3A5	0.935	STRING	combined_score	v12.0
CYP26B1	CRABP1	0.75	STRING	combined_score	v12.0
CYP26B1	CYP2C8	0.94	STRING	combined_score	v12.0
CYP26B1	CYP2S1	0.941	STRING	combined_score	v12.0
CYP26B1	RDH10	0.751	STRING	combined_score	v12.0
CYP26B1	ALDH1A1	0.964	STRING	combined_score	v12.0
CYP26B1	CYP26A1	0.919	STRING	combined_score	v12.0
