nodeA	nodeB	weight	source	evidence	version
PTPN18	ERBB2	0.799	STRING	combined_score	v12.0
STRADB	STK11	0.994	STRING	combined_score	v12.0
STRADB	CAB39	0.999	STRING	combined_score	v12.0
STRADB	CAB39L	0.994	STRING	combined_score	v12.0
STRADB	STRADA	0.911	STRING	combined_score	v12.0
PPP1R13B	TP53	0.986	STRING	combined_score	v12.0
DMC1	MSH5	0.759	STRING	combined_score	v12.0
DMC1	BRCA1	0.832	STRING	combined_score	v12.0
DMC1	MSH4	0.863	STRING	combined_score	v12.0
DMC1	CDK4	0.83	STRING	combined_score	v12.0
DMC1	ATM	0.866	STRING	combined_score	v12.0
DMC1	BRCA2	0.979	STRING	combined_score	v12.0
DMC1	MLH1	0.753	STRING	combined_score	v12.0
DMC1	SPO11	0.925	STRING	combined_score	v12.0
DMC1	RAD51	0.991	STRING	combined_score	v12.0
DMC1	FANCM	0.77	STRING	combined_score	v12.0
DMC1	PSMC3IP	0.786	STRING	combined_score	v12.0
DMC1	RAD54B	0.724	STRING	combined_score	v12.0
USP11	BRCA1	0.723	STRING	combined_score	v12.0
USP11	BRCA2	0.934	STRING	combined_score	v12.0
USP11	TP53	0.864	STRING	combined_score	v12.0
USP11	RAD51	0.72	STRING	combined_score	v12.0
USP11	TCEAL2	0.758	STRING	combined_score	v12.0
NTHL1	MUTYH	0.901	STRING	combined_score	v12.0
NTHL1	NUDT1	0.706	STRING	combined_score	v12.0
NTHL1	MSH6	0.718	STRING	combined_score	v12.0
NTHL1	PMS2	0.735	STRING	combined_score	v12.0
NTHL1	MSH2	0.723	STRING	combined_score	v12.0
NTHL1	MLH1	0.779	STRING	combined_score	v12.0
NTHL1	XRCC1	0.978	STRING	combined_score	v12.0
TOX3	NEK10	0.77	STRING	combined_score	v12.0
TOX3	BRCA1	0.765	STRING	combined_score	v12.0
TOX3	LSP1	0.892	STRING	combined_score	v12.0
TOX3	BRCA2	0.797	STRING	combined_score	v12.0
TOX3	MAP3K1	0.838	STRING	combined_score	v12.0
TOX3	SLC4A7	0.775	STRING	combined_score	v12.0
TOX3	FGFR2	0.826	STRING	combined_score	v12.0
TOX3	RAD51B	0.77	STRING	combined_score	v12.0
FANCE	FANCM	0.999	STRING	combined_score	v12.0
FANCE	FANCB	0.999	STRING	combined_score	v12.0
FANCE	FANCC	0.999	STRING	combined_score	v12.0
FANCE	RAD51	0.821	STRING	combined_score	v12.0
FANCE	FANCF	0.999	STRING	combined_score	v12.0
FANCE	BRIP1	0.895	STRING	combined_score	v12.0
FANCE	XRCC3	0.789	STRING	combined_score	v12.0
FANCE	FANCG	0.999	STRING	combined_score	v12.0
FANCE	CHEK2	0.712	STRING	combined_score	v12.0
FANCE	EME1	0.736	STRING	combined_score	v12.0
FANCE	FANCD2	0.999	STRING	combined_score	v12.0
FANCE	FANCA	0.999	STRING	combined_score	v12.0
FANCE	BRCA1	0.92	STRING	combined_score	v12.0
FANCE	SLX4	0.88	STRING	combined_score	v12.0
FANCE	RAD51C	0.811	STRING	combined_score	v12.0
FANCE	BARD1	0.791	STRING	combined_score	v12.0
FANCE	BRCA2	0.899	STRING	combined_score	v12.0
FANCE	FANCL	0.999	STRING	combined_score	v12.0
FANCE	PALB2	0.884	STRING	combined_score	v12.0
TTC1	NF1	0.737	STRING	combined_score	v12.0
MLH1	FANCM	0.705	STRING	combined_score	v12.0
MLH1	MLH3	0.999	STRING	combined_score	v12.0
MLH1	PTEN	0.83	STRING	combined_score	v12.0
MLH1	LIG4	0.807	STRING	combined_score	v12.0
MLH1	MUTYH	0.92	STRING	combined_score	v12.0
MLH1	RAD51	0.893	STRING	combined_score	v12.0
MLH1	NBN	0.891	STRING	combined_score	v12.0
MLH1	RAD51D-2	0.858	STRING	combined_score	v12.0
MLH1	MGMT	0.866	STRING	combined_score	v12.0
MLH1	KRAS	0.868	STRING	combined_score	v12.0
MLH1	STK11	0.73	STRING	combined_score	v12.0
MLH1	CDKN2A	0.855	STRING	combined_score	v12.0
MLH1	XRCC3	0.705	STRING	combined_score	v12.0
MLH1	CDK4	0.743	STRING	combined_score	v12.0
MLH1	MSH4	0.986	STRING	combined_score	v12.0
MLH1	CHEK2	0.834	STRING	combined_score	v12.0
MLH1	RAD51D	0.859	STRING	combined_score	v12.0
MLH1	CBY2	0.712	STRING	combined_score	v12.0
MLH1	ATM	0.997	STRING	combined_score	v12.0
MLH1	BRIP1	0.999	STRING	combined_score	v12.0
MLH1	MSH5	0.971	STRING	combined_score	v12.0
MLH1	MBD4	0.966	STRING	combined_score	v12.0
MLH1	BRCA1	0.994	STRING	combined_score	v12.0
MLH1	RAD51C	0.822	STRING	combined_score	v12.0
MLH1	FANCD2	0.971	STRING	combined_score	v12.0
MLH1	PIK3CA	0.789	STRING	combined_score	v12.0
MLH1	TP53	0.965	STRING	combined_score	v12.0
MLH1	XRCC1	0.773	STRING	combined_score	v12.0
MLH1	BARD1	0.784	STRING	combined_score	v12.0
MLH1	MSH2	0.999	STRING	combined_score	v12.0
MLH1	SPO11	0.771	STRING	combined_score	v12.0
MLH1	PMS2	0.999	STRING	combined_score	v12.0
MLH1	RASSF1	0.721	STRING	combined_score	v12.0
MLH1	REEP5	0.728	STRING	combined_score	v12.0
MLH1	BRCA2	0.954	STRING	combined_score	v12.0
MLH1	PALB2	0.892	STRING	combined_score	v12.0
MLH1	MSH6	0.999	STRING	combined_score	v12.0
MLH1	NF1	0.764	STRING	combined_score	v12.0
MSH2	PMS2	0.999	STRING	combined_score	v12.0
MSH2	BRCA2	0.968	STRING	combined_score	v12.0
MSH2	REEP5	0.734	STRING	combined_score	v12.0
MSH2	NF1	0.726	STRING	combined_score	v12.0
