disease	string_module	string_size	disease_module	disease_size	overlap_size	jaccard	overlap_genes
BC	0	94	2	31	8	0.0684	AKT1;CAB39;CAB39L;CASP8;PTEN;STK11;STRADA;STRADB
BC	0	94	3	25	3	0.0259	CDH1;ERBB2;PIK3CA
BC	0	94	0	55	0	0.0	
BC	0	94	1	50	0	0.0	
BC	1	84	1	50	8	0.0635	BRCA2;FIGNL1;PALB2;RAD51;RAD51C;SPIDR;XRCC2;XRCC3
BC	1	84	0	55	6	0.0451	BARD1;BRIP1;FANCD2;MSH6;NBN;PMS2
BC	1	84	2	31	0	0.0	
BC	1	84	3	25	0	0.0	
BC	2	34	0	55	1	0.0114	TP53
BC	2	34	1	50	0	0.0	
BC	2	34	2	31	0	0.0	
BC	2	34	3	25	0	0.0	
BC	3	25	0	55	4	0.0526	ATM;CBY2;MLH1;NABP2
BC	3	25	1	50	2	0.0274	DMC1;NTHL1
BC	3	25	2	31	0	0.0	
BC	3	25	3	25	0	0.0	
